#    L    TT             EE             TE             PP             TP          
   132    0.37299E+04    0.10132E+01   -0.40394E+02    0.28726E+07    0.41357E+04
   133    0.37650E+04    0.10140E+01   -0.40695E+02    0.28512E+07    0.40989E+04
   134    0.38002E+04    0.10144E+01   -0.40973E+02    0.28300E+07    0.40626E+04
   135    0.38352E+04    0.10142E+01   -0.41233E+02    0.28090E+07    0.40267E+04
   136    0.38702E+04    0.10134E+01   -0.41471E+02    0.27882E+07    0.39914E+04
   137    0.39050E+04    0.10123E+01   -0.41688E+02    0.27676E+07    0.39566E+04
   138    0.39398E+04    0.10106E+01   -0.41884E+02    0.27473E+07    0.39222E+04
   139    0.39743E+04    0.10086E+01   -0.42057E+02    0.27271E+07    0.38882E+04
   140    0.40088E+04    0.10060E+01   -0.42209E+02    0.27071E+07    0.38547E+04
   141    0.40430E+04    0.10029E+01   -0.42337E+02    0.26873E+07    0.38216E+04
   142    0.40772E+04    0.99932E+00   -0.42442E+02    0.26677E+07    0.37889E+04
   143    0.41113E+04    0.99537E+00   -0.42525E+02    0.26483E+07    0.37566E+04
   144    0.41451E+04    0.99094E+00   -0.42583E+02    0.26291E+07    0.37247E+04
   145    0.41787E+04    0.98617E+00   -0.42618E+02    0.26101E+07    0.36931E+04
   146    0.42123E+04    0.98085E+00   -0.42628E+02    0.25913E+07    0.36619E+04
   147    0.42455E+04    0.97521E+00   -0.42612E+02    0.25727E+07    0.36310E+04
   148    0.42785E+04    0.96910E+00   -0.42572E+02    0.25542E+07    0.36005E+04
   149    0.43114E+04    0.96260E+00   -0.42506E+02    0.25359E+07    0.35703E+04
   150    0.43439E+04    0.95579E+00   -0.42412E+02    0.25179E+07    0.35404E+04
   151    0.43761E+04    0.94860E+00   -0.42294E+02    0.25000E+07    0.35107E+04
   152    0.44081E+04    0.94097E+00   -0.42149E+02    0.24822E+07    0.34814E+04
   153    0.44398E+04    0.93303E+00   -0.41976E+02    0.24647E+07    0.34524E+04
   154    0.44712E+04    0.92482E+00   -0.41777E+02    0.24473E+07    0.34236E+04
   155    0.45023E+04    0.91632E+00   -0.41551E+02    0.24301E+07    0.33951E+04
   156    0.45330E+04    0.90754E+00   -0.41298E+02    0.24131E+07    0.33669E+04
   157    0.45635E+04    0.89849E+00   -0.41017E+02    0.23962E+07    0.33390E+04
   158    0.45937E+04    0.88925E+00   -0.40708E+02    0.23795E+07    0.33113E+04
   159    0.46234E+04    0.87968E+00   -0.40372E+02    0.23630E+07    0.32840E+04
   160    0.46529E+04    0.86992E+00   -0.40008E+02    0.23466E+07    0.32569E+04
   161    0.46821E+04    0.86007E+00   -0.39616E+02    0.23304E+07    0.32300E+04
   162    0.47109E+04    0.84998E+00   -0.39197E+02    0.23144E+07    0.32035E+04
   163    0.47394E+04    0.83972E+00   -0.38750E+02    0.22985E+07    0.31772E+04
   164    0.47675E+04    0.82938E+00   -0.38275E+02    0.22828E+07    0.31512E+04
   165    0.47953E+04    0.81889E+00   -0.37772E+02    0.22672E+07    0.31254E+04
   166    0.48227E+04    0.80840E+00   -0.37241E+02    0.22518E+07    0.30999E+04
   167    0.48497E+04    0.79770E+00   -0.36683E+02    0.22366E+07    0.30747E+04
   168    0.48763E+04    0.78716E+00   -0.36096E+02    0.22215E+07    0.30497E+04
   169    0.49024E+04    0.77650E+00   -0.35480E+02    0.22065E+07    0.30250E+04
   170    0.49282E+04    0.76593E+00   -0.34837E+02    0.21917E+07    0.30005E+04
   171    0.49534E+04    0.75547E+00   -0.34164E+02    0.21771E+07    0.29763E+04
   172    0.49781E+04    0.74505E+00   -0.33464E+02    0.21626E+07    0.29523E+04
   173    0.50023E+04    0.73467E+00   -0.32736E+02    0.21482E+07    0.29286E+04
   174    0.50261E+04    0.72464E+00   -0.31979E+02    0.21340E+07    0.29051E+04
   175    0.50494E+04    0.71466E+00   -0.31195E+02    0.21199E+07    0.28819E+04
   176    0.50720E+04    0.70497E+00   -0.30382E+02    0.21059E+07    0.28589E+04
   177    0.50942E+04    0.69549E+00   -0.29542E+02    0.20921E+07    0.28361E+04
   178    0.51158E+04    0.68646E+00   -0.28674E+02    0.20784E+07    0.28136E+04
   179    0.51369E+04    0.67758E+00   -0.27778E+02    0.20649E+07    0.27913E+04
   180    0.51576E+04    0.66908E+00   -0.26856E+02    0.20515E+07    0.27693E+04
   181    0.51776E+04    0.66098E+00   -0.25907E+02    0.20382E+07    0.27475E+04
   182    0.51971E+04    0.65334E+00   -0.24931E+02    0.20250E+07    0.27258E+04
   183    0.52160E+04    0.64611E+00   -0.23930E+02    0.20120E+07    0.27044E+04
   184    0.52344E+04    0.63936E+00   -0.22902E+02    0.19991E+07    0.26832E+04
   185    0.52523E+04    0.63325E+00   -0.21849E+02    0.19863E+07    0.26623E+04
   186    0.52692E+04    0.62764E+00   -0.20770E+02    0.19737E+07    0.26415E+04
   187    0.52859E+04    0.62269E+00   -0.19666E+02    0.19612E+07    0.26209E+04
   188    0.53020E+04    0.61838E+00   -0.18538E+02    0.19488E+07    0.26005E+04
   189    0.53173E+04    0.61475E+00   -0.17385E+02    0.19365E+07    0.25803E+04
   190    0.53325E+04    0.61188E+00   -0.16210E+02    0.19243E+07    0.25602E+04
   191    0.53466E+04    0.60977E+00   -0.15009E+02    0.19123E+07    0.25404E+04
   192    0.53603E+04    0.60847E+00   -0.13785E+02    0.19003E+07    0.25207E+04
   193    0.53733E+04    0.60802E+00   -0.12540E+02    0.18885E+07    0.25012E+04
   194    0.53858E+04    0.60846E+00   -0.11271E+02    0.18768E+07    0.24819E+04
   195    0.53977E+04    0.60984E+00   -0.99817E+01    0.18652E+07    0.24627E+04
   196    0.54088E+04    0.61219E+00   -0.86705E+01    0.18537E+07    0.24437E+04
   197    0.54195E+04    0.61557E+00   -0.73393E+01    0.18423E+07    0.24248E+04
