#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    57    0.14832E+04   -0.14492E+01    0.11093E-04   -0.14492E+01    0.18391E+00   -0.93743E-08    0.11093E-04   -0.93743E-08    0.33846E-10
    58    0.15045E+04   -0.17427E+01    0.10706E-04   -0.17427E+01    0.19402E+00   -0.87831E-08    0.10706E-04   -0.87831E-08    0.32477E-10
    59    0.15260E+04   -0.20486E+01    0.10338E-04   -0.20486E+01    0.20430E+00   -0.82230E-08    0.10338E-04   -0.82230E-08    0.31179E-10
    60    0.15477E+04   -0.23663E+01    0.99876E-05   -0.23663E+01    0.21471E+00   -0.78372E-08    0.99876E-05   -0.78372E-08    0.29948E-10
    61    0.15700E+04   -0.26950E+01    0.96509E-05   -0.26950E+01    0.22532E+00   -0.77348E-08    0.96509E-05   -0.77348E-08    0.28778E-10
    62    0.15922E+04   -0.30366E+01    0.93280E-05   -0.30366E+01    0.23614E+00   -0.78876E-08    0.93280E-05   -0.78876E-08    0.27666E-10
    63    0.16146E+04   -0.33935E+01    0.90184E-05   -0.33935E+01    0.24720E+00   -0.82334E-08    0.90184E-05   -0.82334E-08    0.26610E-10
    64    0.16374E+04   -0.37680E+01    0.87221E-05   -0.37680E+01    0.25858E+00   -0.87098E-08    0.87221E-05   -0.87098E-08    0.25605E-10
    65    0.16602E+04   -0.41620E+01    0.84389E-05   -0.41620E+01    0.27031E+00   -0.92547E-08    0.84389E-05   -0.92547E-08    0.24648E-10
    66    0.16833E+04   -0.45743E+01    0.81685E-05   -0.45743E+01    0.28237E+00   -0.98051E-08    0.81685E-05   -0.98051E-08    0.23736E-10
    67    0.17066E+04   -0.50006E+01    0.79107E-05   -0.50006E+01    0.29474E+00   -0.10296E-07    0.79107E-05   -0.10296E-07    0.22868E-10
    68    0.17303E+04   -0.54371E+01    0.76654E-05   -0.54371E+01    0.30738E+00   -0.10661E-07    0.76654E-05   -0.10661E-07    0.22039E-10
    69    0.17543E+04   -0.58800E+01    0.74323E-05   -0.58800E+01    0.32020E+00   -0.10836E-07    0.74323E-05   -0.10836E-07    0.21249E-10
    70    0.17788E+04   -0.63287E+01    0.72111E-05   -0.63287E+01    0.33318E+00   -0.10753E-07    0.72111E-05   -0.10753E-07    0.20495E-10
    71    0.18035E+04   -0.67842E+01    0.70014E-05   -0.67842E+01    0.34627E+00   -0.10380E-07    0.70014E-05   -0.10380E-07    0.19775E-10
    72    0.18284E+04   -0.72492E+01    0.68020E-05   -0.72492E+01    0.35946E+00   -0.98101E-08    0.68020E-05   -0.98101E-08    0.19086E-10
    73    0.18536E+04   -0.77261E+01    0.66113E-05   -0.77261E+01    0.37275E+00   -0.91676E-08    0.66113E-05   -0.91676E-08    0.18428E-10
    74    0.18789E+04   -0.82161E+01    0.64277E-05   -0.82161E+01    0.38617E+00   -0.85782E-08    0.64277E-05   -0.85782E-08    0.17799E-10
    75    0.19045E+04   -0.87197E+01    0.62499E-05   -0.87197E+01    0.39976E+00   -0.81669E-08    0.62499E-05   -0.81669E-08    0.17197E-10
    76    0.19303E+04   -0.92374E+01    0.60765E-05   -0.92374E+01    0.41355E+00   -0.80257E-08    0.60765E-05   -0.80257E-08    0.16620E-10
    77    0.19564E+04   -0.97679E+01    0.59079E-05   -0.97679E+01    0.42753E+00   -0.81130E-08    0.59079E-05   -0.81130E-08    0.16068E-10
    78    0.19827E+04   -0.10311E+02    0.57444E-05   -0.10311E+02    0.44172E+00   -0.83542E-08    0.57444E-05   -0.83542E-08    0.15539E-10
    79    0.20093E+04   -0.10861E+02    0.55868E-05   -0.10861E+02    0.45604E+00   -0.86744E-08    0.55868E-05   -0.86744E-08    0.15032E-10
    80    0.20362E+04   -0.11417E+02    0.54356E-05   -0.11417E+02    0.47048E+00   -0.89990E-08    0.54356E-05   -0.89990E-08    0.14545E-10
    81    0.20634E+04   -0.11978E+02    0.52911E-05   -0.11978E+02    0.48500E+00   -0.92639E-08    0.52911E-05   -0.92639E-08    0.14079E-10
    82    0.20910E+04   -0.12545E+02    0.51531E-05   -0.12545E+02    0.49960E+00   -0.94479E-08    0.51531E-05   -0.94479E-08    0.13631E-10
    83    0.21188E+04   -0.13119E+02    0.50211E-05   -0.13119E+02    0.51424E+00   -0.95405E-08    0.50211E-05   -0.95405E-08    0.13201E-10
    84    0.21469E+04   -0.13699E+02    0.48949E-05   -0.13699E+02    0.52892E+00   -0.95313E-08    0.48949E-05   -0.95313E-08    0.12788E-10
    85    0.21753E+04   -0.14289E+02    0.47739E-05   -0.14289E+02    0.54360E+00   -0.94098E-08    0.47739E-05   -0.94098E-08    0.12392E-10
    86    0.22038E+04   -0.14887E+02    0.46577E-05   -0.14887E+02    0.55828E+00   -0.91735E-08    0.46577E-05   -0.91735E-08    0.12011E-10
    87    0.22329E+04   -0.15493E+02    0.45459E-05   -0.15493E+02    0.57294E+00   -0.88509E-08    0.45459E-05   -0.88509E-08    0.11645E-10
    88    0.22619E+04   -0.16106E+02    0.44383E-05   -0.16106E+02    0.58761E+00   -0.84786E-08    0.44383E-05   -0.84786E-08    0.11293E-10
    89    0.22914E+04   -0.16726E+02    0.43343E-05   -0.16726E+02    0.60225E+00   -0.80932E-08    0.43343E-05   -0.80932E-08    0.10954E-10
    90    0.23211E+04   -0.17350E+02    0.42337E-05   -0.17350E+02    0.61686E+00   -0.77312E-08    0.42337E-05   -0.77312E-08    0.10627E-10
    91    0.23510E+04   -0.17978E+02    0.41360E-05   -0.17978E+02    0.63141E+00   -0.74224E-08    0.41360E-05   -0.74224E-08    0.10312E-10
