#    L    TT             EE             TE             PP             TP          
   161    0.50600E+04    0.91189E+00   -0.42450E+02    0.33057E+07    0.37830E+04
   162    0.50888E+04    0.90011E+00   -0.41935E+02    0.32871E+07    0.37499E+04
   163    0.51174E+04    0.88819E+00   -0.41388E+02    0.32686E+07    0.37171E+04
   164    0.51454E+04    0.87620E+00   -0.40812E+02    0.32503E+07    0.36847E+04
   165    0.51730E+04    0.86409E+00   -0.40204E+02    0.32321E+07    0.36526E+04
   166    0.52002E+04    0.85200E+00   -0.39566E+02    0.32141E+07    0.36209E+04
   167    0.52270E+04    0.83973E+00   -0.38898E+02    0.31962E+07    0.35895E+04
   168    0.52531E+04    0.82766E+00   -0.38199E+02    0.31785E+07    0.35585E+04
   169    0.52788E+04    0.81551E+00   -0.37469E+02    0.31609E+07    0.35278E+04
   170    0.53041E+04    0.80349E+00   -0.36709E+02    0.31435E+07    0.34974E+04
   171    0.53287E+04    0.79162E+00   -0.35918E+02    0.31262E+07    0.34674E+04
   172    0.53527E+04    0.77984E+00   -0.35096E+02    0.31091E+07    0.34377E+04
   173    0.53761E+04    0.76816E+00   -0.34244E+02    0.30921E+07    0.34084E+04
   174    0.53990E+04    0.75688E+00   -0.33362E+02    0.30752E+07    0.33793E+04
   175    0.54214E+04    0.74572E+00   -0.32449E+02    0.30585E+07    0.33506E+04
   176    0.54430E+04    0.73490E+00   -0.31506E+02    0.30419E+07    0.33222E+04
   177    0.54641E+04    0.72437E+00   -0.30534E+02    0.30255E+07    0.32941E+04
   178    0.54846E+04    0.71435E+00   -0.29533E+02    0.30091E+07    0.32664E+04
   179    0.55044E+04    0.70457E+00   -0.28501E+02    0.29930E+07    0.32389E+04
   180    0.55237E+04    0.69526E+00   -0.27442E+02    0.29769E+07    0.32117E+04
   181    0.55423E+04    0.68643E+00   -0.26354E+02    0.29610E+07    0.31848E+04
   182    0.55603E+04    0.67816E+00   -0.25238E+02    0.29452E+07    0.31583E+04
   183    0.55776E+04    0.67040E+00   -0.24095E+02    0.29296E+07    0.31320E+04
   184    0.55944E+04    0.66322E+00   -0.22924E+02    0.29140E+07    0.31059E+04
   185    0.56105E+04    0.65680E+00   -0.21727E+02    0.28986E+07    0.30802E+04
   186    0.56256E+04    0.65099E+00   -0.20503E+02    0.28834E+07    0.30547E+04
   187    0.56404E+04    0.64596E+00   -0.19253E+02    0.28682E+07    0.30294E+04
   188    0.56544E+04    0.64170E+00   -0.17978E+02    0.28532E+07    0.30045E+04
   189    0.56677E+04    0.63825E+00   -0.16677E+02    0.28383E+07    0.29797E+04
   190    0.56807E+04    0.63569E+00   -0.15354E+02    0.28235E+07    0.29552E+04
   191    0.56927E+04    0.63404E+00   -0.14004E+02    0.28088E+07    0.29310E+04
   192    0.57040E+04    0.63335E+00   -0.12631E+02    0.27943E+07    0.29070E+04
   193    0.57146E+04    0.63366E+00   -0.11237E+02    0.27799E+07    0.28832E+04
   194    0.57247E+04    0.63501E+00   -0.98185E+01    0.27656E+07    0.28596E+04
   195    0.57340E+04    0.63747E+00   -0.83793E+01    0.27513E+07    0.28363E+04
   196    0.57426E+04    0.64107E+00   -0.69184E+01    0.27373E+07    0.28131E+04
   197    0.57505E+04    0.64587E+00   -0.54377E+01    0.27233E+07    0.27902E+04
   198    0.57577E+04    0.65190E+00   -0.39366E+01    0.27094E+07    0.27675E+04
   199    0.57643E+04    0.65922E+00   -0.24162E+01    0.26957E+07    0.27449E+04
   200    0.57702E+04    0.66787E+00   -0.87743E+00    0.26820E+07    0.27226E+04
   201    0.57753E+04    0.67791E+00    0.68015E+00    0.26685E+07    0.27004E+04
   202    0.57797E+04    0.68935E+00    0.22549E+01    0.26550E+07    0.26784E+04
   203    0.57834E+04    0.70223E+00    0.38472E+01    0.26417E+07    0.26566E+04
   204    0.57863E+04    0.71658E+00    0.54540E+01    0.26285E+07    0.26350E+04
   205    0.57885E+04    0.73244E+00    0.70773E+01    0.26153E+07    0.26135E+04
   206    0.57899E+04    0.74982E+00    0.87156E+01    0.26023E+07    0.25923E+04
   207    0.57906E+04    0.76875E+00    0.10368E+02    0.25894E+07    0.25712E+04
   208    0.57905E+04    0.78928E+00    0.12034E+02    0.25766E+07    0.25502E+04
   209    0.57896E+04    0.81141E+00    0.13714E+02    0.25639E+07    0.25295E+04
   210    0.57881E+04    0.83520E+00    0.15405E+02    0.25512E+07    0.25089E+04
   211    0.57858E+04    0.86065E+00    0.17108E+02    0.25387E+07    0.24885E+04
   212    0.57826E+04    0.88781E+00    0.18821E+02    0.25263E+07    0.24682E+04
   213    0.57788E+04    0.91670E+00    0.20544E+02    0.25139E+07    0.24481E+04
   214    0.57742E+04    0.94732E+00    0.22277E+02    0.25017E+07    0.24282E+04
   215    0.57690E+04    0.97983E+00    0.24017E+02    0.24896E+07    0.24084E+04
   216    0.57629E+04    0.10141E+01    0.25766E+02    0.24775E+07    0.23888E+04
   217    0.57562E+04    0.10502E+01    0.27521E+02    0.24656E+07    0.23694E+04
   218    0.57488E+04    0.10881E+01    0.29281E+02    0.24537E+07    0.23501E+04
   219    0.57407E+04    0.11279E+01    0.31049E+02    0.24419E+07    0.23310E+04
   220    0.57319E+04    0.11697E+01    0.32818E+02    0.24302E+07    0.23120E+04
   221    0.57224E+04    0.12134E+01    0.34592E+02    0.24186E+07    0.22931E+04
