#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    65    0.18366E+04   -0.50456E+01    0.10104E-04   -0.50456E+01    0.30427E+00   -0.10198E-07    0.10104E-04   -0.10198E-07    0.30198E-10
    66    0.18622E+04   -0.55149E+01    0.97870E-05   -0.55149E+01    0.31778E+00   -0.10849E-07    0.97870E-05   -0.10849E-07    0.29133E-10
    67    0.18880E+04   -0.60001E+01    0.94846E-05   -0.60001E+01    0.33163E+00   -0.11445E-07    0.94846E-05   -0.11445E-07    0.28116E-10
    68    0.19142E+04   -0.64969E+01    0.91961E-05   -0.64969E+01    0.34578E+00   -0.11904E-07    0.91961E-05   -0.11904E-07    0.27145E-10
    69    0.19407E+04   -0.70010E+01    0.89214E-05   -0.70010E+01    0.36012E+00   -0.12143E-07    0.89214E-05   -0.12143E-07    0.26217E-10
    70    0.19677E+04   -0.75115E+01    0.86604E-05   -0.75115E+01    0.37464E+00   -0.12080E-07    0.86604E-05   -0.12080E-07    0.25331E-10
    71    0.19950E+04   -0.80290E+01    0.84126E-05   -0.80290E+01    0.38926E+00   -0.11671E-07    0.84126E-05   -0.11671E-07    0.24483E-10
    72    0.20226E+04   -0.85562E+01    0.81767E-05   -0.85562E+01    0.40399E+00   -0.11022E-07    0.81767E-05   -0.11022E-07    0.23671E-10
    73    0.20504E+04   -0.90959E+01    0.79508E-05   -0.90959E+01    0.41883E+00   -0.10277E-07    0.79508E-05   -0.10277E-07    0.22895E-10
    74    0.20783E+04   -0.96496E+01    0.77333E-05   -0.96496E+01    0.43380E+00   -0.95796E-08    0.77333E-05   -0.95796E-08    0.22151E-10
    75    0.21066E+04   -0.10218E+02    0.75223E-05   -0.10218E+02    0.44896E+00   -0.90748E-08    0.75223E-05   -0.90748E-08    0.21438E-10
    76    0.21350E+04   -0.10802E+02    0.73167E-05   -0.10802E+02    0.46433E+00   -0.88691E-08    0.73167E-05   -0.88691E-08    0.20755E-10
    77    0.21637E+04   -0.11400E+02    0.71165E-05   -0.11400E+02    0.47990E+00   -0.89219E-08    0.71165E-05   -0.89219E-08    0.20100E-10
    78    0.21927E+04   -0.12011E+02    0.69224E-05   -0.12011E+02    0.49568E+00   -0.91557E-08    0.69224E-05   -0.91557E-08    0.19471E-10
    79    0.22219E+04   -0.12629E+02    0.67348E-05   -0.12629E+02    0.51161E+00   -0.94928E-08    0.67348E-05   -0.94928E-08    0.18868E-10
    80    0.22515E+04   -0.13255E+02    0.65544E-05   -0.13255E+02    0.52767E+00   -0.98556E-08    0.65544E-05   -0.98556E-08    0.18289E-10
    81    0.22813E+04   -0.13886E+02    0.63816E-05   -0.13886E+02    0.54379E+00   -0.10176E-07    0.63816E-05   -0.10176E-07    0.17732E-10
    82    0.23115E+04   -0.14523E+02    0.62162E-05   -0.14523E+02    0.56000E+00   -0.10422E-07    0.62162E-05   -0.10422E-07    0.17197E-10
    83    0.23420E+04   -0.15166E+02    0.60578E-05   -0.15166E+02    0.57624E+00   -0.10574E-07    0.60578E-05   -0.10574E-07    0.16683E-10
    84    0.23728E+04   -0.15817E+02    0.59060E-05   -0.15817E+02    0.59250E+00   -0.10608E-07    0.59060E-05   -0.10608E-07    0.16189E-10
    85    0.24038E+04   -0.16476E+02    0.57604E-05   -0.16476E+02    0.60875E+00   -0.10504E-07    0.57604E-05   -0.10504E-07    0.15713E-10
    86    0.24350E+04   -0.17145E+02    0.56207E-05   -0.17145E+02    0.62499E+00   -0.10250E-07    0.56207E-05   -0.10250E-07    0.15256E-10
    87    0.24668E+04   -0.17821E+02    0.54863E-05   -0.17821E+02    0.64119E+00   -0.98825E-08    0.54863E-05   -0.98825E-08    0.14816E-10
    88    0.24986E+04   -0.18505E+02    0.53569E-05   -0.18505E+02    0.65736E+00   -0.94464E-08    0.53569E-05   -0.94464E-08    0.14391E-10
    89    0.25308E+04   -0.19196E+02    0.52318E-05   -0.19196E+02    0.67350E+00   -0.89884E-08    0.52318E-05   -0.89884E-08    0.13983E-10
    90    0.25632E+04   -0.19890E+02    0.51106E-05   -0.19890E+02    0.68957E+00   -0.85543E-08    0.51106E-05   -0.85543E-08    0.13588E-10
    91    0.25958E+04   -0.20589E+02    0.49929E-05   -0.20589E+02    0.70557E+00   -0.81819E-08    0.49929E-05   -0.81819E-08    0.13207E-10
