#    L    TT             EE             BB             TE          
   165    0.51710E+04    0.87379E+00    0.88621E-02   -0.40014E+02
   166    0.51981E+04    0.86197E+00    0.89819E-02   -0.39374E+02
   167    0.52247E+04    0.84999E+00    0.91027E-02   -0.38705E+02
   168    0.52507E+04    0.83820E+00    0.92244E-02   -0.38005E+02
   169    0.52763E+04    0.82634E+00    0.93470E-02   -0.37273E+02
   170    0.53013E+04    0.81462E+00    0.94706E-02   -0.36512E+02
   171    0.53258E+04    0.80306E+00    0.95952E-02   -0.35719E+02
   172    0.53497E+04    0.79159E+00    0.97206E-02   -0.34897E+02
   173    0.53729E+04    0.78023E+00    0.98470E-02   -0.34044E+02
   174    0.53957E+04    0.76928E+00    0.99742E-02   -0.33161E+02
   175    0.54179E+04    0.75845E+00    0.10102E-01   -0.32248E+02
   176    0.54394E+04    0.74797E+00    0.10232E-01   -0.31305E+02
   177    0.54603E+04    0.73778E+00    0.10362E-01   -0.30333E+02
   178    0.54806E+04    0.72812E+00    0.10492E-01   -0.29331E+02
   179    0.55003E+04    0.71870E+00    0.10624E-01   -0.28299E+02
   180    0.55195E+04    0.70975E+00    0.10757E-01   -0.27240E+02
   181    0.55379E+04    0.70129E+00    0.10890E-01   -0.26153E+02
   182    0.55558E+04    0.69340E+00    0.11025E-01   -0.25038E+02
   183    0.55729E+04    0.68601E+00    0.11160E-01   -0.23895E+02
   184    0.55895E+04    0.67923E+00    0.11296E-01   -0.22725E+02
   185    0.56054E+04    0.67320E+00    0.11433E-01   -0.21530E+02
   186    0.56204E+04    0.66779E+00    0.11571E-01   -0.20308E+02
   187    0.56350E+04    0.66316E+00    0.11710E-01   -0.19059E+02
   188    0.56489E+04    0.65931E+00    0.11849E-01   -0.17786E+02
   189    0.56620E+04    0.65627E+00    0.11990E-01   -0.16488E+02
   190    0.56749E+04    0.65413E+00    0.12131E-01   -0.15166E+02
   191    0.56866E+04    0.65290E+00    0.12272E-01   -0.13819E+02
   192    0.56978E+04    0.65263E+00    0.12415E-01   -0.12449E+02
   193    0.57083E+04    0.65337E+00    0.12558E-01   -0.11058E+02
   194    0.57182E+04    0.65516E+00    0.12702E-01   -0.96426E+01
   195    0.57273E+04    0.65805E+00    0.12847E-01   -0.82067E+01
   196    0.57357E+04    0.66208E+00    0.12992E-01   -0.67494E+01
   197    0.57435E+04    0.66732E+00    0.13138E-01   -0.52725E+01
   198    0.57506E+04    0.67380E+00    0.13284E-01   -0.37755E+01
   199    0.57570E+04    0.68156E+00    0.13432E-01   -0.22594E+01
   200    0.57627E+04    0.69065E+00    0.13580E-01   -0.72515E+00
   201    0.57677E+04    0.70114E+00    0.13728E-01    0.82766E+00
   202    0.57720E+04    0.71302E+00    0.13877E-01    0.23973E+01
   203    0.57755E+04    0.72635E+00    0.14027E-01    0.39844E+01
   204    0.57782E+04    0.74114E+00    0.14177E-01    0.55857E+01
   205    0.57803E+04    0.75744E+00    0.14328E-01    0.72033E+01
   206    0.57816E+04    0.77527E+00    0.14479E-01    0.88355E+01
   207    0.57822E+04    0.79464E+00    0.14631E-01    0.10482E+02
   208    0.57819E+04    0.81561E+00    0.14784E-01    0.12142E+02
   209    0.57809E+04    0.83818E+00    0.14936E-01    0.13814E+02
   210    0.57792E+04    0.86240E+00    0.15090E-01    0.15498E+02
   211    0.57767E+04    0.88829E+00    0.15244E-01    0.17194E+02
   212    0.57734E+04    0.91588E+00    0.15398E-01    0.18900E+02
   213    0.57695E+04    0.94520E+00    0.15552E-01    0.20615E+02
   214    0.57648E+04    0.97623E+00    0.15707E-01    0.22340E+02
   215    0.57594E+04    0.10092E+01    0.15862E-01    0.24072E+02
   216    0.57533E+04    0.10438E+01    0.16018E-01    0.25812E+02
   217    0.57465E+04    0.10803E+01    0.16174E-01    0.27558E+02
   218    0.57389E+04    0.11187E+01    0.16330E-01    0.29310E+02
   219    0.57307E+04    0.11589E+01    0.16487E-01    0.31068E+02
   220    0.57218E+04    0.12011E+01    0.16643E-01    0.32828E+02
   221    0.57123E+04    0.12451E+01    0.16800E-01    0.34592E+02
   222    0.57020E+04    0.12913E+01    0.16957E-01    0.36358E+02
   223    0.56910E+04    0.13393E+01    0.17115E-01    0.38127E+02
   224    0.56794E+04    0.13894E+01    0.17272E-01    0.39895E+02
   225    0.56671E+04    0.14415E+01    0.17430E-01    0.41664E+02
   226    0.56541E+04    0.14957E+01    0.17588E-01    0.43431E+02
   227    0.56405E+04    0.15520E+01    0.17746E-01    0.45197E+02
   228    0.56262E+04    0.16104E+01    0.17905E-01    0.46960E+02
   229    0.56113E+04    0.16709E+01    0.18063E-01    0.48718E+02
   230    0.55957E+04    0.17335E+01    0.18221E-01    0.50472E+02
   231    0.55794E+04    0.17984E+01    0.18380E-01    0.52222E+02
   232    0.55625E+04    0.18653E+01    0.18538E-01    0.53965E+02
   233    0.55450E+04    0.19346E+01    0.18696E-01    0.55699E+02
   234    0.55268E+04    0.20060E+01    0.18855E-01    0.57426E+02
   235    0.55080E+04    0.20797E+01    0.19013E-01    0.59143E+02
   236    0.54885E+04    0.21556E+01    0.19171E-01    0.60851E+02
   237    0.54684E+04    0.22338E+01    0.19330E-01    0.62547E+02
   238    0.54477E+04    0.23144E+01    0.19488E-01    0.64232E+02
   239    0.54264E+04    0.23972E+01    0.19646E-01    0.65904E+02
   240    0.54044E+04    0.24823E+01    0.19803E-01    0.67561E+02
   241    0.53820E+04    0.25698E+01    0.19961E-01    0.69203E+02
   242    0.53590E+04    0.26595E+01    0.20119E-01    0.70831E+02
   243    0.53354E+04    0.27517E+01    0.20276E-01    0.72441E+02
   244    0.53112E+04    0.28461E+01    0.20433E-01    0.74034E+02
   245    0.52865E+04    0.29430E+01    0.20590E-01    0.75608E+02
   246    0.52612E+04    0.30422E+01    0.20746E-01    0.77164E+02
   247    0.52355E+04    0.31437E+01    0.20903E-01    0.78698E+02
   248    0.52092E+04    0.32479E+01    0.21059E-01    0.80212E+02
   249    0.51825E+04    0.33542E+01    0.21215E-01    0.81703E+02
   250    0.51552E+04    0.34630E+01    0.21370E-01    0.83171E+02
   251    0.51275E+04    0.35742E+01    0.21525E-01    0.84615E+02
   252    0.50992E+04    0.36878E+01    0.21680E-01    0.86036E+02
   253    0.50706E+04    0.38036E+01    0.21834E-01    0.87430E+02
   254    0.50415E+04    0.39218E+01    0.21988E-01    0.88798E+02
   255    0.50119E+04    0.40422E+01    0.22142E-01    0.90141E+02
   256    0.49820E+04    0.41651E+01    0.22295E-01    0.91459E+02
   257    0.49517E+04    0.42900E+01    0.22448E-01    0.92743E+02
   258    0.49209E+04    0.44172E+01    0.22601E-01    0.94006E+02
   259    0.48897E+04    0.45466E+01    0.22752E-01    0.95234E+02
   260    0.48583E+04    0.46782E+01    0.22904E-01    0.96442E+02
   261    0.48264E+04    0.48118E+01    0.23055E-01    0.97608E+02
   262    0.47941E+04    0.49476E+01    0.23205E-01    0.98753E+02
   263    0.47617E+04    0.50854E+01    0.23355E-01    0.99871E+02
   264    0.47288E+04    0.52252E+01    0.23504E-01    0.10095E+03
   265    0.46955E+04    0.53669E+01    0.23653E-01    0.10200E+03
   266    0.46620E+04    0.55107E+01    0.23802E-01    0.10302E+03
   267    0.46280E+04    0.56562E+01    0.23949E-01    0.10400E+03
   268    0.45939E+04    0.58038E+01    0.24097E-01    0.10495E+03
   269    0.45593E+04    0.59531E+01    0.24243E-01    0.10587E+03
   270    0.45246E+04    0.61042E+01    0.24389E-01    0.10676E+03
   271    0.44895E+04    0.62569E+01    0.24535E-01    0.10761E+03
   272    0.44544E+04    0.64115E+01    0.24680E-01    0.10842E+03
   273    0.44189E+04    0.65675E+01    0.24824E-01    0.10921E+03
   274    0.43833E+04    0.67253E+01    0.24968E-01    0.10995E+03
   275    0.43475E+04    0.68844E+01    0.25111E-01    0.11066E+03
   276    0.43115E+04    0.70451E+01    0.25254E-01    0.11133E+03
   277    0.42753E+04    0.72072E+01    0.25396E-01    0.11197E+03
   278    0.42390E+04    0.73707E+01    0.25537E-01    0.11256E+03
   279    0.42025E+04    0.75354E+01    0.25678E-01    0.11312E+03
   280    0.41659E+04    0.77014E+01    0.25818E-01    0.11364E+03
   281    0.41293E+04    0.78687E+01    0.25957E-01    0.11413E+03
   282    0.40924E+04    0.80369E+01    0.26096E-01    0.11457E+03
   283    0.40555E+04    0.82063E+01    0.26234E-01    0.11497E+03
   284    0.40186E+04    0.83768E+01    0.26372E-01    0.11534E+03
   285    0.39816E+04    0.85482E+01    0.26509E-01    0.11566E+03
   286    0.39445E+04    0.87205E+01    0.26645E-01    0.11594E+03
   287    0.39074E+04    0.88936E+01    0.26780E-01    0.11619E+03
   288    0.38703E+04    0.90675E+01    0.26915E-01    0.11640E+03
   289    0.38332E+04    0.92421E+01    0.27050E-01    0.11656E+03
   290    0.37961E+04    0.94171E+01    0.27183E-01    0.11669E+03
   291    0.37590E+04    0.95934E+01    0.27316E-01    0.11676E+03
   292    0.37218E+04    0.97697E+01    0.27449E-01    0.11681E+03
   293    0.36848E+04    0.99457E+01    0.27581E-01    0.11680E+03
   294    0.36478E+04    0.10123E+02    0.27712E-01    0.11676E+03
   295    0.36110E+04    0.10300E+02    0.27843E-01    0.11667E+03
   296    0.35742E+04    0.10477E+02    0.27973E-01    0.11654E+03
   297    0.35375E+04    0.10654E+02    0.28102E-01    0.11638E+03
   298    0.35008E+04    0.10832E+02    0.28231E-01    0.11616E+03
   299    0.34644E+04    0.11009E+02    0.28359E-01    0.11590E+03
   300    0.34280E+04    0.11186E+02    0.28487E-01    0.11560E+03
   301    0.33918E+04    0.11363E+02    0.28614E-01    0.11526E+03
   302    0.33558E+04    0.11539E+02    0.28741E-01    0.11489E+03
   303    0.33200E+04    0.11715E+02    0.28867E-01    0.11446E+03
   304    0.32843E+04    0.11892E+02    0.28992E-01    0.11398E+03
   305    0.32488E+04    0.12067E+02    0.29117E-01    0.11347E+03
   306    0.32135E+04    0.12241E+02    0.29241E-01    0.11292E+03
   307    0.31785E+04    0.12415E+02    0.29365E-01    0.11232E+03
   308    0.31436E+04    0.12590E+02    0.29489E-01    0.11170E+03
   309    0.31091E+04    0.12763E+02    0.29612E-01    0.11102E+03
   310    0.30747E+04    0.12934E+02    0.29734E-01    0.11030E+03
   311    0.30406E+04    0.13106E+02    0.29856E-01    0.10955E+03
   312    0.30068E+04    0.13276E+02    0.29978E-01    0.10875E+03
   313    0.29732E+04    0.13446E+02    0.30099E-01    0.10792E+03
   314    0.29398E+04    0.13615E+02    0.30219E-01    0.10705E+03
   315    0.29068E+04    0.13781E+02    0.30340E-01    0.10614E+03
   316    0.28741E+04    0.13947E+02    0.30460E-01    0.10519E+03
   317    0.28416E+04    0.14111E+02    0.30579E-01    0.10420E+03
   318    0.28095E+04    0.14275E+02    0.30698E-01    0.10318E+03
   319    0.27777E+04    0.14436E+02    0.30817E-01    0.10212E+03
   320    0.27462E+04    0.14597E+02    0.30936E-01    0.10103E+03
   321    0.27151E+04    0.14756E+02    0.31054E-01    0.99904E+02
   322    0.26843E+04    0.14913E+02    0.31172E-01    0.98741E+02
   323    0.26538E+04    0.15068E+02    0.31290E-01    0.97543E+02
   324    0.26237E+04    0.15222E+02    0.31407E-01    0.96305E+02
   325    0.25940E+04    0.15372E+02    0.31524E-01    0.95048E+02
   326    0.25646E+04    0.15522E+02    0.31641E-01    0.93743E+02
   327    0.25357E+04    0.15670E+02    0.31758E-01    0.92414E+02
   328    0.25071E+04    0.15815E+02    0.31875E-01    0.91060E+02
   329    0.24789E+04    0.15958E+02    0.31991E-01    0.89667E+02
   330    0.24511E+04    0.16099E+02    0.32107E-01    0.88242E+02
   331    0.24238E+04    0.16237E+02    0.32223E-01    0.86795E+02
   332    0.23968E+04    0.16374E+02    0.32339E-01    0.85325E+02
   333    0.23703E+04    0.16507E+02    0.32456E-01    0.83825E+02
   334    0.23442E+04    0.16639E+02    0.32572E-01    0.82295E+02
   335    0.23185E+04    0.16766E+02    0.32688E-01    0.80737E+02
   336    0.22932E+04    0.16892E+02    0.32804E-01    0.79158E+02
   337    0.22685E+04    0.17015E+02    0.32920E-01    0.77543E+02
   338    0.22441E+04    0.17134E+02    0.33036E-01    0.75915E+02
   339    0.22203E+04    0.17252E+02    0.33152E-01    0.74260E+02
   340    0.21969E+04    0.17366E+02    0.33268E-01    0.72593E+02
   341    0.21739E+04    0.17476E+02    0.33384E-01    0.70892E+02
   342    0.21515E+04    0.17585E+02    0.33501E-01    0.69173E+02
   343    0.21295E+04    0.17689E+02    0.33617E-01    0.67435E+02
   344    0.21081E+04    0.17790E+02    0.33734E-01    0.65680E+02
   345    0.20871E+04    0.17887E+02    0.33851E-01    0.63907E+02
   346    0.20666E+04    0.17982E+02    0.33968E-01    0.62126E+02
   347    0.20466E+04    0.18072E+02    0.34086E-01    0.60320E+02
   348    0.20271E+04    0.18159E+02    0.34203E-01    0.58498E+02
   349    0.20081E+04    0.18242E+02    0.34321E-01    0.56661E+02
   350    0.19897E+04    0.18321E+02    0.34440E-01    0.54816E+02
   351    0.19719E+04    0.18397E+02    0.34558E-01    0.52956E+02
   352    0.19544E+04    0.18469E+02    0.34677E-01    0.51081E+02
   353    0.19376E+04    0.18537E+02    0.34796E-01    0.49207E+02
   354    0.19212E+04    0.18601E+02    0.34916E-01    0.47311E+02
   355    0.19053E+04    0.18661E+02    0.35036E-01    0.45409E+02
   356    0.18900E+04    0.18718E+02    0.35157E-01    0.43507E+02
   357    0.18752E+04    0.18770E+02    0.35278E-01    0.41591E+02
   358    0.18610E+04    0.18818E+02    0.35399E-01    0.39676E+02
   359    0.18472E+04    0.18862E+02    0.35522E-01    0.37748E+02
   360    0.18339E+04    0.18903E+02    0.35644E-01    0.35817E+02
   361    0.18212E+04    0.18939E+02    0.35767E-01    0.33880E+02
   362    0.18090E+04    0.18972E+02    0.35891E-01    0.31939E+02
   363    0.17973E+04    0.19001E+02    0.36015E-01    0.29996E+02
   364    0.17861E+04    0.19025E+02    0.36140E-01    0.28049E+02
   365    0.17754E+04    0.19046E+02    0.36266E-01    0.26104E+02
   366    0.17652E+04    0.19063E+02    0.36392E-01    0.24157E+02
   367    0.17556E+04    0.19074E+02    0.36519E-01    0.22210E+02
   368    0.17463E+04    0.19083E+02    0.36646E-01    0.20266E+02
   369    0.17377E+04    0.19088E+02    0.36774E-01    0.18323E+02
   370    0.17296E+04    0.19089E+02    0.36903E-01    0.16385E+02
