#    L    TT             EE             BB             TE          
   131    0.37882E+04    0.11064E+01    0.56178E-02   -0.41692E+02
   132    0.38236E+04    0.11104E+01    0.57088E-02   -0.42106E+02
   133    0.38589E+04    0.11139E+01    0.58006E-02   -0.42506E+02
   134    0.38942E+04    0.11170E+01    0.58934E-02   -0.42886E+02
   135    0.39296E+04    0.11195E+01    0.59872E-02   -0.43250E+02
   136    0.39647E+04    0.11215E+01    0.60819E-02   -0.43594E+02
   137    0.39999E+04    0.11231E+01    0.61775E-02   -0.43920E+02
   138    0.40350E+04    0.11241E+01    0.62741E-02   -0.44226E+02
   139    0.40699E+04    0.11248E+01    0.63717E-02   -0.44512E+02
   140    0.41048E+04    0.11248E+01    0.64703E-02   -0.44779E+02
   141    0.41395E+04    0.11243E+01    0.65698E-02   -0.45024E+02
   142    0.41743E+04    0.11234E+01    0.66704E-02   -0.45249E+02
   143    0.42089E+04    0.11220E+01    0.67719E-02   -0.45452E+02
   144    0.42433E+04    0.11201E+01    0.68745E-02   -0.45634E+02
   145    0.42776E+04    0.11178E+01    0.69780E-02   -0.45793E+02
   146    0.43120E+04    0.11149E+01    0.70826E-02   -0.45930E+02
   147    0.43459E+04    0.11116E+01    0.71881E-02   -0.46043E+02
   148    0.43798E+04    0.11078E+01    0.72947E-02   -0.46134E+02
   149    0.44135E+04    0.11035E+01    0.74022E-02   -0.46200E+02
   150    0.44470E+04    0.10989E+01    0.75108E-02   -0.46241E+02
   151    0.44803E+04    0.10938E+01    0.76203E-02   -0.46258E+02
   152    0.45133E+04    0.10882E+01    0.77309E-02   -0.46251E+02
   153    0.45461E+04    0.10822E+01    0.78425E-02   -0.46217E+02
   154    0.45788E+04    0.10758E+01    0.79551E-02   -0.46158E+02
   155    0.46112E+04    0.10691E+01    0.80687E-02   -0.46074E+02
   156    0.46432E+04    0.10620E+01    0.81833E-02   -0.45964E+02
   157    0.46751E+04    0.10545E+01    0.82990E-02   -0.45828E+02
   158    0.47067E+04    0.10467E+01    0.84158E-02   -0.45665E+02
   159    0.47380E+04    0.10385E+01    0.85336E-02   -0.45476E+02
   160    0.47691E+04    0.10300E+01    0.86525E-02   -0.45259E+02
   161    0.47999E+04    0.10212E+01    0.87724E-02   -0.45016E+02
   162    0.48304E+04    0.10122E+01    0.88935E-02   -0.44747E+02
   163    0.48607E+04    0.10028E+01    0.90155E-02   -0.44450E+02
   164    0.48906E+04    0.99317E+00    0.91387E-02   -0.44126E+02
   165    0.49203E+04    0.98329E+00    0.92629E-02   -0.43775E+02
   166    0.49497E+04    0.97327E+00    0.93882E-02   -0.43396E+02
   167    0.49788E+04    0.96289E+00    0.95145E-02   -0.42990E+02
