#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    86    0.23060E+04   -0.14401E+02    0.59481E-05   -0.14401E+02    0.56313E+00   -0.99312E-08    0.59481E-05   -0.99312E-08    0.15471E-10
    87    0.23349E+04   -0.15010E+02    0.58071E-05   -0.15010E+02    0.57856E+00   -0.96630E-08    0.58071E-05   -0.96630E-08    0.15028E-10
    88    0.23638E+04   -0.15625E+02    0.56718E-05   -0.15625E+02    0.59400E+00   -0.92358E-08    0.56718E-05   -0.92358E-08    0.14600E-10
    89    0.23931E+04   -0.16247E+02    0.55414E-05   -0.16247E+02    0.60945E+00   -0.87268E-08    0.55414E-05   -0.87268E-08    0.14188E-10
    90    0.24226E+04   -0.16875E+02    0.54151E-05   -0.16875E+02    0.62492E+00   -0.82135E-08    0.54151E-05   -0.82135E-08    0.13790E-10
    91    0.24522E+04   -0.17509E+02    0.52924E-05   -0.17509E+02    0.64041E+00   -0.77596E-08    0.52924E-05   -0.77596E-08    0.13406E-10
    92    0.24822E+04   -0.18149E+02    0.51730E-05   -0.18149E+02    0.65591E+00   -0.73746E-08    0.51730E-05   -0.73746E-08    0.13035E-10
    93    0.25124E+04   -0.18794E+02    0.50569E-05   -0.18794E+02    0.67141E+00   -0.70538E-08    0.50569E-05   -0.70538E-08    0.12677E-10
    94    0.25427E+04   -0.19444E+02    0.49440E-05   -0.19444E+02    0.68688E+00   -0.67930E-08    0.49440E-05   -0.67930E-08    0.12331E-10
    95    0.25733E+04   -0.20099E+02    0.48343E-05   -0.20099E+02    0.70230E+00   -0.65877E-08    0.48343E-05   -0.65877E-08    0.11997E-10
    96    0.26039E+04   -0.20759E+02    0.47276E-05   -0.20759E+02    0.71767E+00   -0.64336E-08    0.47276E-05   -0.64336E-08    0.11675E-10
    97    0.26349E+04   -0.21422E+02    0.46239E-05   -0.21422E+02    0.73296E+00   -0.63262E-08    0.46239E-05   -0.63262E-08    0.11364E-10
    98    0.26662E+04   -0.22085E+02    0.45231E-05   -0.22085E+02    0.74817E+00   -0.62612E-08    0.45231E-05   -0.62612E-08    0.11063E-10
    99    0.26976E+04   -0.22753E+02    0.44252E-05   -0.22753E+02    0.76325E+00   -0.62342E-08    0.44252E-05   -0.62342E-08    0.10773E-10
   100    0.27292E+04   -0.23421E+02    0.43300E-05   -0.23421E+02    0.77821E+00   -0.62408E-08    0.43300E-05   -0.62408E-08    0.10494E-10
   101    0.27610E+04   -0.24091E+02    0.42375E-05   -0.24091E+02    0.79309E+00   -0.62765E-08    0.42375E-05   -0.62765E-08    0.10224E-10
   102    0.27933E+04   -0.24761E+02    0.41475E-05   -0.24761E+02    0.80776E+00   -0.63371E-08    0.41475E-05   -0.63371E-08    0.99628E-11
   103    0.28255E+04   -0.25432E+02    0.40602E-05   -0.25432E+02    0.82228E+00   -0.64180E-08    0.40602E-05   -0.64180E-08    0.97108E-11
   104    0.28580E+04   -0.26100E+02    0.39753E-05   -0.26100E+02    0.83664E+00   -0.65150E-08    0.39753E-05   -0.65150E-08    0.94673E-11
   105    0.28906E+04   -0.26768E+02    0.38927E-05   -0.26768E+02    0.85078E+00   -0.66236E-08    0.38927E-05   -0.66236E-08    0.92319E-11
   106    0.29235E+04   -0.27435E+02    0.38125E-05   -0.27435E+02    0.86476E+00   -0.67394E-08    0.38125E-05   -0.67394E-08    0.90042E-11
   107    0.29562E+04   -0.28098E+02    0.37345E-05   -0.28098E+02    0.87844E+00   -0.68580E-08    0.37345E-05   -0.68580E-08    0.87838E-11
   108    0.29894E+04   -0.28759E+02    0.36587E-05   -0.28759E+02    0.89188E+00   -0.69750E-08    0.36587E-05   -0.69750E-08    0.85704E-11
   109    0.30227E+04   -0.29416E+02    0.35849E-05   -0.29416E+02    0.90500E+00   -0.70861E-08    0.35849E-05   -0.70861E-08    0.83634E-11
   110    0.30561E+04   -0.30067E+02    0.35132E-05   -0.30067E+02    0.91782E+00   -0.71869E-08    0.35132E-05   -0.71869E-08    0.81627E-11
   111    0.30897E+04   -0.30715E+02    0.34434E-05   -0.30715E+02    0.93039E+00   -0.72737E-08    0.34434E-05   -0.72737E-08    0.79677E-11
   112    0.31234E+04   -0.31358E+02    0.33755E-05   -0.31358E+02    0.94265E+00   -0.73463E-08    0.33755E-05   -0.73463E-08    0.77784E-11
   113    0.31574E+04   -0.31994E+02    0.33094E-05   -0.31994E+02    0.95459E+00   -0.74051E-08    0.33094E-05   -0.74051E-08    0.75945E-11
   114    0.31914E+04   -0.32623E+02    0.32451E-05   -0.32623E+02    0.96614E+00   -0.74507E-08    0.32451E-05   -0.74507E-08    0.74159E-11
   115    0.32257E+04   -0.33245E+02    0.31825E-05   -0.33245E+02    0.97744E+00   -0.74835E-08    0.31825E-05   -0.74835E-08    0.72426E-11
   116    0.32599E+04   -0.33860E+02    0.31216E-05   -0.33860E+02    0.98829E+00   -0.75041E-08    0.31216E-05   -0.75041E-08    0.70743E-11
   117    0.32945E+04   -0.34465E+02    0.30624E-05   -0.34465E+02    0.99874E+00   -0.75129E-08    0.30624E-05   -0.75129E-08    0.69109E-11
   118    0.33293E+04   -0.35063E+02    0.30047E-05   -0.35063E+02    0.10090E+01   -0.75105E-08    0.30047E-05   -0.75105E-08    0.67523E-11
   119    0.33640E+04   -0.35651E+02    0.29486E-05   -0.35651E+02    0.10188E+01   -0.74973E-08    0.29486E-05   -0.74973E-08    0.65983E-11
   120    0.33989E+04   -0.36228E+02    0.28940E-05   -0.36228E+02    0.10281E+01   -0.74738E-08    0.28940E-05   -0.74738E-08    0.64489E-11
