#    L    TT             EE             BB             TE          
   150    0.42769E+04    0.11104E+01    0.76362E-02   -0.46248E+02
   151    0.43084E+04    0.11049E+01    0.77464E-02   -0.46272E+02
   152    0.43397E+04    0.10989E+01    0.78575E-02   -0.46272E+02
   153    0.43707E+04    0.10925E+01    0.79697E-02   -0.46245E+02
   154    0.44016E+04    0.10857E+01    0.80829E-02   -0.46194E+02
   155    0.44322E+04    0.10786E+01    0.81971E-02   -0.46118E+02
   156    0.44624E+04    0.10710E+01    0.83123E-02   -0.46017E+02
   157    0.44925E+04    0.10631E+01    0.84285E-02   -0.45890E+02
   158    0.45223E+04    0.10548E+01    0.85458E-02   -0.45737E+02
   159    0.45518E+04    0.10461E+01    0.86642E-02   -0.45559E+02
   160    0.45810E+04    0.10371E+01    0.87836E-02   -0.45353E+02
   161    0.46099E+04    0.10278E+01    0.89041E-02   -0.45122E+02
   162    0.46386E+04    0.10182E+01    0.90256E-02   -0.44865E+02
   163    0.46671E+04    0.10082E+01    0.91482E-02   -0.44580E+02
   164    0.46950E+04    0.99805E+00    0.92719E-02   -0.44271E+02
   165    0.47228E+04    0.98755E+00    0.93966E-02   -0.43933E+02
   166    0.47503E+04    0.97689E+00    0.95224E-02   -0.43569E+02
   167    0.47775E+04    0.96585E+00    0.96492E-02   -0.43179E+02
   168    0.48043E+04    0.95480E+00    0.97771E-02   -0.42761E+02
   169    0.48307E+04    0.94344E+00    0.99060E-02   -0.42316E+02
   170    0.48567E+04    0.93200E+00    0.10036E-01   -0.41844E+02
   171    0.48823E+04    0.92047E+00    0.10167E-01   -0.41343E+02
   172    0.49075E+04    0.90879E+00    0.10299E-01   -0.40816E+02
   173    0.49321E+04    0.89695E+00    0.10432E-01   -0.40261E+02
   174    0.49565E+04    0.88525E+00    0.10566E-01   -0.39679E+02
   175    0.49804E+04    0.87339E+00    0.10701E-01   -0.39070E+02
   176    0.50037E+04    0.86161E+00    0.10837E-01   -0.38432E+02
   177    0.50267E+04    0.84981E+00    0.10974E-01   -0.37768E+02
   178    0.50491E+04    0.83823E+00    0.11112E-01   -0.37077E+02
   179    0.50711E+04    0.82658E+00    0.11251E-01   -0.36357E+02
