#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.157009E-04   0.177751E+08   0.177751E+08   0.236727E+08   0.236718E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177812E+08  -0.473689E+00   0.941224E+07   0.941224E+07   0.745544E+01
   0.162331E-04   0.177751E+08   0.177751E+08   0.236708E+08   0.236699E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177812E+08  -0.473689E+00   0.941224E+07   0.941224E+07   0.770795E+01
   0.167832E-04   0.177751E+08   0.177751E+08   0.236687E+08   0.236678E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177812E+08  -0.473689E+00   0.941224E+07   0.941224E+07   0.796899E+01
   0.173520E-04   0.177751E+08   0.177751E+08   0.236666E+08   0.236656E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177812E+08  -0.473688E+00   0.941224E+07   0.941224E+07   0.823886E+01
   0.179400E-04   0.177751E+08   0.177751E+08   0.236643E+08   0.236632E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177812E+08  -0.473688E+00   0.941224E+07   0.941224E+07   0.851786E+01
   0.185480E-04   0.177751E+08   0.177751E+08   0.236618E+08   0.236607E+08   0.000000E+00   0.177751E+08   0.177751E+08   0.177812E+08  -0.473688E+00   0.941223E+07   0.941223E+07   0.880629E+01
   0.191766E-04   0.177750E+08   0.177750E+08   0.236592E+08   0.236579E+08   0.000000E+00   0.177750E+08   0.177750E+08   0.177812E+08  -0.473688E+00   0.941223E+07   0.941223E+07   0.910446E+01
   0.198265E-04   0.177750E+08   0.177750E+08   0.236563E+08   0.236550E+08   0.000000E+00   0.177750E+08   0.177750E+08   0.177812E+08  -0.473688E+00   0.941223E+07   0.941223E+07   0.941272E+01
   0.204985E-04   0.177750E+08   0.177750E+08   0.236533E+08   0.236519E+08   0.000000E+00   0.177750E+08   0.177750E+08   0.177812E+08  -0.473688E+00   0.941223E+07   0.941222E+07   0.973139E+01
   0.211932E-04   0.177750E+08   0.177750E+08   0.236501E+08   0.236486E+08   0.000000E+00   0.177750E+08   0.177750E+08   0.177812E+08  -0.473687E+00   0.941222E+07   0.941222E+07   0.100608E+02
   0.219114E-04   0.177750E+08   0.177750E+08   0.236466E+08   0.236450E+08   0.000000E+00   0.177750E+08   0.177750E+08   0.177812E+08  -0.473687E+00   0.941222E+07   0.941222E+07   0.104014E+02
   0.226540E-04   0.177750E+08   0.177750E+08   0.236429E+08   0.236412E+08   0.000000E+00   0.177750E+08   0.177750E+08   0.177812E+08  -0.473687E+00   0.941222E+07   0.941222E+07   0.107534E+02
   0.234217E-04   0.177750E+08   0.177750E+08   0.236390E+08   0.236372E+08   0.000000E+00   0.177750E+08   0.177750E+08   0.177812E+08  -0.473687E+00   0.941221E+07   0.941221E+07   0.111174E+02
   0.242155E-04   0.177750E+08   0.177750E+08   0.236348E+08   0.236329E+08   0.000000E+00   0.177750E+08   0.177750E+08   0.177812E+08  -0.473687E+00   0.941221E+07   0.941221E+07   0.114936E+02
   0.250362E-04   0.177750E+08   0.177750E+08   0.236303E+08   0.236282E+08   0.000000E+00   0.177750E+08   0.177750E+08   0.177812E+08  -0.473686E+00   0.941220E+07   0.941220E+07   0.118825E+02
   0.258847E-04   0.177750E+08   0.177750E+08   0.236255E+08   0.236233E+08   0.000000E+00   0.177750E+08   0.177750E+08   0.177811E+08  -0.473686E+00   0.941220E+07   0.941220E+07   0.122846E+02
   0.267619E-04   0.177750E+08   0.177750E+08   0.236204E+08   0.236180E+08   0.000000E+00   0.177750E+08   0.177750E+08   0.177811E+08  -0.473686E+00   0.941219E+07   0.941219E+07   0.127002E+02
   0.276689E-04   0.177750E+08   0.177750E+08   0.236149E+08   0.236123E+08   0.000000E+00   0.177750E+08   0.177750E+08   0.177811E+08  -0.473685E+00   0.941219E+07   0.941219E+07   0.131298E+02
   0.286066E-04   0.177750E+08   0.177750E+08   0.236090E+08   0.236063E+08   0.000000E+00   0.177750E+08   0.177750E+08   0.177811E+08  -0.473685E+00   0.941218E+07   0.941218E+07   0.135739E+02
   0.295761E-04   0.177749E+08   0.177749E+08   0.236027E+08   0.235998E+08   0.000000E+00   0.177749E+08   0.177749E+08   0.177811E+08  -0.473685E+00   0.941218E+07   0.941218E+07   0.140329E+02
   0.305784E-04   0.177749E+08   0.177749E+08   0.235960E+08   0.235929E+08   0.000000E+00   0.177749E+08   0.177749E+08   0.177811E+08  -0.473684E+00   0.941217E+07   0.941217E+07   0.145074E+02
   0.316147E-04   0.177749E+08   0.177749E+08   0.235889E+08   0.235856E+08   0.000000E+00   0.177749E+08   0.177749E+08   0.177811E+08  -0.473684E+00   0.941216E+07   0.941216E+07   0.149978E+02
   0.326861E-04   0.177749E+08   0.177749E+08   0.235812E+08   0.235777E+08   0.000000E+00   0.177749E+08   0.177749E+08   0.177811E+08  -0.473683E+00   0.941216E+07   0.941216E+07   0.155048E+02
   0.337939E-04   0.177749E+08   0.177749E+08   0.235730E+08   0.235692E+08   0.000000E+00   0.177749E+08   0.177749E+08   0.177810E+08  -0.473683E+00   0.941215E+07   0.941215E+07   0.160288E+02
   0.349392E-04   0.177749E+08   0.177749E+08   0.235643E+08   0.235602E+08   0.000000E+00   0.177749E+08   0.177749E+08   0.177810E+08  -0.473682E+00   0.941214E+07   0.941214E+07   0.165704E+02
   0.361233E-04   0.177749E+08   0.177749E+08   0.235549E+08   0.235506E+08   0.000000E+00   0.177749E+08   0.177749E+08   0.177810E+08  -0.473682E+00   0.941213E+07   0.941213E+07   0.171301E+02
   0.373475E-04   0.177748E+08   0.177748E+08   0.235450E+08   0.235404E+08   0.000000E+00   0.177748E+08   0.177748E+08   0.177810E+08  -0.473681E+00   0.941212E+07   0.941212E+07   0.177087E+02
   0.386132E-04   0.177748E+08   0.177748E+08   0.235343E+08   0.235294E+08   0.000000E+00   0.177748E+08   0.177748E+08   0.177810E+08  -0.473680E+00   0.941211E+07   0.941211E+07   0.183067E+02
   0.399218E-04   0.177748E+08   0.177748E+08   0.235229E+08   0.235176E+08   0.000000E+00   0.177748E+08   0.177748E+08   0.177809E+08  -0.473680E+00   0.941210E+07   0.941210E+07   0.189246E+02
   0.412748E-04   0.177748E+08   0.177748E+08   0.235107E+08   0.235051E+08   0.000000E+00   0.177748E+08   0.177748E+08   0.177809E+08  -0.473679E+00   0.941209E+07   0.941209E+07   0.195633E+02
   0.426736E-04   0.177748E+08   0.177748E+08   0.234977E+08   0.234917E+08   0.000000E+00   0.177748E+08   0.177748E+08   0.177809E+08  -0.473678E+00   0.941208E+07   0.941207E+07   0.202234E+02
   0.441198E-04   0.177747E+08   0.177747E+08   0.234838E+08   0.234774E+08   0.000000E+00   0.177747E+08   0.177747E+08   0.177809E+08  -0.473677E+00   0.941206E+07   0.941206E+07   0.209055E+02
   0.456150E-04   0.177747E+08   0.177747E+08   0.234690E+08   0.234621E+08   0.000000E+00   0.177747E+08   0.177747E+08   0.177808E+08  -0.473677E+00   0.941205E+07   0.941205E+07   0.216103E+02
   0.471610E-04   0.177747E+08   0.177747E+08   0.234531E+08   0.234458E+08   0.000000E+00   0.177747E+08   0.177747E+08   0.177808E+08  -0.473676E+00   0.941203E+07   0.941203E+07   0.223387E+02
   0.487593E-04   0.177747E+08   0.177746E+08   0.234362E+08   0.234284E+08   0.000000E+00   0.177746E+08   0.177746E+08   0.177808E+08  -0.473675E+00   0.941202E+07   0.941202E+07   0.230914E+02
   0.504117E-04   0.177746E+08   0.177746E+08   0.234181E+08   0.234097E+08   0.000000E+00   0.177746E+08   0.177746E+08   0.177807E+08  -0.473673E+00   0.941200E+07   0.941200E+07   0.238691E+02
   0.521202E-04   0.177746E+08   0.177746E+08   0.233988E+08   0.233898E+08   0.000000E+00   0.177746E+08   0.177746E+08   0.177807E+08  -0.473672E+00   0.941198E+07   0.941198E+07   0.246726E+02
   0.538865E-04   0.177745E+08   0.177745E+08   0.233781E+08   0.233686E+08   0.000000E+00   0.177745E+08   0.177745E+08   0.177806E+08  -0.473671E+00   0.941196E+07   0.941196E+07   0.255028E+02
   0.557128E-04   0.177745E+08   0.177745E+08   0.233561E+08   0.233459E+08   0.000000E+00   0.177745E+08   0.177745E+08   0.177806E+08  -0.473670E+00   0.941194E+07   0.941194E+07   0.263605E+02
   0.576009E-04   0.177745E+08   0.177745E+08   0.233325E+08   0.233216E+08   0.000000E+00   0.177745E+08   0.177745E+08   0.177805E+08  -0.473668E+00   0.941192E+07   0.941191E+07   0.272466E+02
   0.595530E-04   0.177744E+08   0.177744E+08   0.233074E+08   0.232958E+08   0.000000E+00   0.177744E+08   0.177744E+08   0.177805E+08  -0.473667E+00   0.941189E+07   0.941189E+07   0.281620E+02
   0.615713E-04   0.177744E+08   0.177744E+08   0.232805E+08   0.232681E+08   0.000000E+00   0.177744E+08   0.177744E+08   0.177804E+08  -0.473665E+00   0.941187E+07   0.941186E+07   0.291075E+02
   0.636579E-04   0.177743E+08   0.177743E+08   0.232518E+08   0.232386E+08   0.000000E+00   0.177743E+08   0.177743E+08   0.177804E+08  -0.473663E+00   0.941184E+07   0.941184E+07   0.300842E+02
