#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    80    0.19016E+04   -0.11296E+02    0.60164E-05   -0.11296E+02    0.54745E+00   -0.15948E-07    0.60164E-05   -0.15948E-07    0.21336E-10
    81    0.19248E+04   -0.11879E+02    0.58532E-05   -0.11879E+02    0.56389E+00   -0.15848E-07    0.58532E-05   -0.15848E-07    0.20674E-10
    82    0.19483E+04   -0.12469E+02    0.56962E-05   -0.12469E+02    0.58036E+00   -0.15794E-07    0.56962E-05   -0.15794E-07    0.20037E-10
    83    0.19720E+04   -0.13067E+02    0.55450E-05   -0.13067E+02    0.59684E+00   -0.15772E-07    0.55450E-05   -0.15772E-07    0.19426E-10
    84    0.19961E+04   -0.13672E+02    0.53992E-05   -0.13672E+02    0.61336E+00   -0.15767E-07    0.53992E-05   -0.15767E-07    0.18838E-10
    85    0.20203E+04   -0.14286E+02    0.52583E-05   -0.14286E+02    0.62988E+00   -0.15766E-07    0.52583E-05   -0.15766E-07    0.18272E-10
    86    0.20448E+04   -0.14908E+02    0.51221E-05   -0.14908E+02    0.64644E+00   -0.15757E-07    0.51221E-05   -0.15757E-07    0.17727E-10
    87    0.20698E+04   -0.15536E+02    0.49904E-05   -0.15536E+02    0.66299E+00   -0.15737E-07    0.49904E-05   -0.15737E-07    0.17203E-10
    88    0.20948E+04   -0.16171E+02    0.48630E-05   -0.16171E+02    0.67953E+00   -0.15705E-07    0.48630E-05   -0.15705E-07    0.16698E-10
    89    0.21202E+04   -0.16813E+02    0.47398E-05   -0.16813E+02    0.69603E+00   -0.15660E-07    0.47398E-05   -0.15660E-07    0.16212E-10
    90    0.21459E+04   -0.17458E+02    0.46206E-05   -0.17458E+02    0.71244E+00   -0.15602E-07    0.46206E-05   -0.15602E-07    0.15742E-10
    91    0.21718E+04   -0.18107E+02    0.45054E-05   -0.18107E+02    0.72874E+00   -0.15530E-07    0.45054E-05   -0.15530E-07    0.15289E-10
    92    0.21979E+04   -0.18758E+02    0.43940E-05   -0.18758E+02    0.74492E+00   -0.15444E-07    0.43940E-05   -0.15444E-07    0.14851E-10
    93    0.22245E+04   -0.19412E+02    0.42863E-05   -0.19412E+02    0.76096E+00   -0.15345E-07    0.42863E-05   -0.15345E-07    0.14428E-10
    94    0.22511E+04   -0.20068E+02    0.41822E-05   -0.20068E+02    0.77682E+00   -0.15235E-07    0.41822E-05   -0.15235E-07    0.14020E-10
    95    0.22780E+04   -0.20725E+02    0.40815E-05   -0.20725E+02    0.79250E+00   -0.15112E-07    0.40815E-05   -0.15112E-07    0.13626E-10
    96    0.23050E+04   -0.21383E+02    0.39842E-05   -0.21383E+02    0.80799E+00   -0.14979E-07    0.39842E-05   -0.14979E-07    0.13246E-10
    97    0.23324E+04   -0.22042E+02    0.38902E-05   -0.22042E+02    0.82326E+00   -0.14837E-07    0.38902E-05   -0.14837E-07    0.12880E-10
    98    0.23601E+04   -0.22698E+02    0.37993E-05   -0.22698E+02    0.83831E+00   -0.14684E-07    0.37993E-05   -0.14684E-07    0.12526E-10
    99    0.23879E+04   -0.23355E+02    0.37114E-05   -0.23355E+02    0.85310E+00   -0.14523E-07    0.37114E-05   -0.14523E-07    0.12184E-10
   100    0.24160E+04   -0.24009E+02    0.36264E-05   -0.24009E+02    0.86762E+00   -0.14355E-07    0.36264E-05   -0.14355E-07    0.11855E-10
   101    0.24442E+04   -0.24662E+02    0.35442E-05   -0.24662E+02    0.88194E+00   -0.14179E-07    0.35442E-05   -0.14179E-07    0.11537E-10
   102    0.24730E+04   -0.25311E+02    0.34647E-05   -0.25311E+02    0.89589E+00   -0.13997E-07    0.34647E-05   -0.13997E-07    0.11230E-10
   103    0.25018E+04   -0.25959E+02    0.33877E-05   -0.25959E+02    0.90957E+00   -0.13809E-07    0.33877E-05   -0.13809E-07    0.10933E-10
   104    0.25308E+04   -0.26601E+02    0.33132E-05   -0.26601E+02    0.92295E+00   -0.13616E-07    0.33132E-05   -0.13616E-07    0.10647E-10
   105    0.25599E+04   -0.27238E+02    0.32411E-05   -0.27238E+02    0.93597E+00   -0.13418E-07    0.32411E-05   -0.13418E-07    0.10370E-10
   106    0.25893E+04   -0.27871E+02    0.31711E-05   -0.27871E+02    0.94869E+00   -0.13217E-07    0.31711E-05   -0.13217E-07    0.10102E-10
