#    L    TT             EE             BB             TE          
   212    0.47991E+04    0.91567E+00    0.11121E-01    0.19020E+02
   213    0.47943E+04    0.94716E+00    0.11238E-01    0.20567E+02
   214    0.47888E+04    0.98037E+00    0.11355E-01    0.22118E+02
   215    0.47826E+04    0.10155E+01    0.11473E-01    0.23675E+02
   216    0.47758E+04    0.10523E+01    0.11590E-01    0.25236E+02
   217    0.47684E+04    0.10910E+01    0.11708E-01    0.26799E+02
   218    0.47604E+04    0.11315E+01    0.11826E-01    0.28365E+02
   219    0.47518E+04    0.11739E+01    0.11944E-01    0.29935E+02
   220    0.47426E+04    0.12182E+01    0.12062E-01    0.31503E+02
   221    0.47328E+04    0.12644E+01    0.12181E-01    0.33072E+02
   222    0.47224E+04    0.13126E+01    0.12299E-01    0.34639E+02
   223    0.47113E+04    0.13627E+01    0.12417E-01    0.36207E+02
   224    0.46997E+04    0.14147E+01    0.12536E-01    0.37770E+02
   225    0.46875E+04    0.14688E+01    0.12654E-01    0.39332E+02
   226    0.46748E+04    0.15249E+01    0.12772E-01    0.40888E+02
   227    0.46614E+04    0.15830E+01    0.12891E-01    0.42441E+02
   228    0.46475E+04    0.16431E+01    0.13009E-01    0.43987E+02
   229    0.46331E+04    0.17053E+01    0.13128E-01    0.45526E+02
   230    0.46181E+04    0.17695E+01    0.13246E-01    0.47059E+02
   231    0.46024E+04    0.18358E+01    0.13364E-01    0.48583E+02
   232    0.45863E+04    0.19042E+01    0.13482E-01    0.50098E+02
   233    0.45696E+04    0.19748E+01    0.13600E-01    0.51602E+02
   234    0.45523E+04    0.20474E+01    0.13717E-01    0.53095E+02
   235    0.45345E+04    0.21222E+01    0.13835E-01    0.54576E+02
   236    0.45162E+04    0.21991E+01    0.13952E-01    0.56045E+02
   237    0.44973E+04    0.22782E+01    0.14069E-01    0.57499E+02
   238    0.44779E+04    0.23595E+01    0.14186E-01    0.58940E+02
   239    0.44581E+04    0.24429E+01    0.14303E-01    0.60365E+02
   240    0.44376E+04    0.25284E+01    0.14419E-01    0.61772E+02
   241    0.44168E+04    0.26162E+01    0.14535E-01    0.63163E+02
   242    0.43954E+04    0.27061E+01    0.14650E-01    0.64535E+02
   243    0.43736E+04    0.27982E+01    0.14766E-01    0.65888E+02
   244    0.43513E+04    0.28925E+01    0.14881E-01    0.67222E+02
   245    0.43286E+04    0.29890E+01    0.14995E-01    0.68533E+02
   246    0.43054E+04    0.30878E+01    0.15110E-01    0.69824E+02
   247    0.42819E+04    0.31886E+01    0.15223E-01    0.71091E+02
   248    0.42578E+04    0.32919E+01    0.15337E-01    0.72335E+02
   249    0.42335E+04    0.33971E+01    0.15450E-01    0.73554E+02
   250    0.42087E+04    0.35047E+01    0.15562E-01    0.74748E+02
   251    0.41836E+04    0.36144E+01    0.15675E-01    0.75916E+02
   252    0.41580E+04    0.37263E+01    0.15786E-01    0.77057E+02
   253    0.41322E+04    0.38402E+01    0.15897E-01    0.78170E+02
   254    0.41060E+04    0.39563E+01    0.16008E-01    0.79256E+02
   255    0.40794E+04    0.40744E+01    0.16118E-01    0.80314E+02
   256    0.40525E+04    0.41947E+01    0.16228E-01    0.81345E+02
   257    0.40254E+04    0.43167E+01    0.16337E-01    0.82342E+02
   258    0.39979E+04    0.44408E+01    0.16445E-01    0.83317E+02
   259    0.39701E+04    0.45668E+01    0.16553E-01    0.84255E+02
   260    0.39421E+04    0.46947E+01    0.16661E-01    0.85171E+02
   261    0.39138E+04    0.48243E+01    0.16768E-01    0.86044E+02
   262    0.38851E+04    0.49559E+01    0.16874E-01    0.86897E+02
   263    0.38565E+04    0.50891E+01    0.16979E-01    0.87721E+02
   264    0.38274E+04    0.52241E+01    0.17084E-01    0.88511E+02
   265    0.37981E+04    0.53606E+01    0.17189E-01    0.89258E+02
   266    0.37686E+04    0.54989E+01    0.17293E-01    0.89986E+02
   267    0.37388E+04    0.56386E+01    0.17396E-01    0.90672E+02
   268    0.37088E+04    0.57800E+01    0.17498E-01    0.91331E+02
   269    0.36785E+04    0.59228E+01    0.17600E-01    0.91957E+02
   270    0.36482E+04    0.60670E+01    0.17701E-01    0.92549E+02
   271    0.36176E+04    0.62124E+01    0.17802E-01    0.93109E+02
   272    0.35870E+04    0.63595E+01    0.17902E-01    0.93628E+02
   273    0.35562E+04    0.65074E+01    0.18001E-01    0.94123E+02
   274    0.35253E+04    0.66568E+01    0.18100E-01    0.94570E+02
   275    0.34942E+04    0.68071E+01    0.18198E-01    0.94993E+02
   276    0.34632E+04    0.69586E+01    0.18295E-01    0.95370E+02
   277    0.34319E+04    0.71111E+01    0.18392E-01    0.95723E+02
   278    0.34007E+04    0.72645E+01    0.18488E-01    0.96030E+02
   279    0.33693E+04    0.74188E+01    0.18584E-01    0.96299E+02
   280    0.33380E+04    0.75739E+01    0.18678E-01    0.96545E+02
   281    0.33067E+04    0.77298E+01    0.18772E-01    0.96746E+02
   282    0.32751E+04    0.78863E+01    0.18866E-01    0.96910E+02
   283    0.32437E+04    0.80434E+01    0.18958E-01    0.97038E+02
   284    0.32124E+04    0.82011E+01    0.19050E-01    0.97128E+02
   285    0.31810E+04    0.83593E+01    0.19142E-01    0.97183E+02
   286    0.31496E+04    0.85179E+01    0.19233E-01    0.97194E+02
   287    0.31182E+04    0.86768E+01    0.19323E-01    0.97176E+02
   288    0.30870E+04    0.88360E+01    0.19412E-01    0.97116E+02
   289    0.30558E+04    0.89954E+01    0.19501E-01    0.97021E+02
   290    0.30247E+04    0.91547E+01    0.19590E-01    0.96891E+02
   291    0.29937E+04    0.93147E+01    0.19677E-01    0.96711E+02
   292    0.29625E+04    0.94743E+01    0.19765E-01    0.96505E+02
   293    0.29318E+04    0.96329E+01    0.19851E-01    0.96250E+02
   294    0.29010E+04    0.97922E+01    0.19937E-01    0.95969E+02
   295    0.28706E+04    0.99505E+01    0.20023E-01    0.95639E+02
   296    0.28402E+04    0.10109E+02    0.20107E-01    0.95277E+02
   297    0.28100E+04    0.10266E+02    0.20192E-01    0.94882E+02
   298    0.27799E+04    0.10424E+02    0.20275E-01    0.94439E+02
   299    0.27500E+04    0.10581E+02    0.20359E-01    0.93957E+02
   300    0.27203E+04    0.10736E+02    0.20441E-01    0.93436E+02
   301    0.26909E+04    0.10891E+02    0.20524E-01    0.92883E+02
   302    0.26617E+04    0.11045E+02    0.20605E-01    0.92300E+02
   303    0.26327E+04    0.11198E+02    0.20687E-01    0.91671E+02
   304    0.26040E+04    0.11351E+02    0.20767E-01    0.90997E+02
   305    0.25755E+04    0.11502E+02    0.20848E-01    0.90294E+02
   306    0.25473E+04    0.11651E+02    0.20928E-01    0.89555E+02
   307    0.25193E+04    0.11800E+02    0.21007E-01    0.88773E+02
   308    0.24916E+04    0.11949E+02    0.21086E-01    0.87970E+02
   309    0.24643E+04    0.12095E+02    0.21165E-01    0.87118E+02
   310    0.24371E+04    0.12240E+02    0.21243E-01    0.86239E+02
   311    0.24103E+04    0.12384E+02    0.21321E-01    0.85320E+02
   312    0.23838E+04    0.12526E+02    0.21399E-01    0.84374E+02
   313    0.23576E+04    0.12667E+02    0.21476E-01    0.83389E+02
   314    0.23317E+04    0.12807E+02    0.21554E-01    0.82380E+02
   315    0.23061E+04    0.12944E+02    0.21630E-01    0.81331E+02
   316    0.22808E+04    0.13081E+02    0.21707E-01    0.80252E+02
   317    0.22559E+04    0.13214E+02    0.21783E-01    0.79142E+02
   318    0.22313E+04    0.13347E+02    0.21859E-01    0.78003E+02
   319    0.22070E+04    0.13478E+02    0.21935E-01    0.76834E+02
   320    0.21831E+04    0.13606E+02    0.22011E-01    0.75645E+02
   321    0.21596E+04    0.13734E+02    0.22087E-01    0.74419E+02
   322    0.21364E+04    0.13858E+02    0.22162E-01    0.73166E+02
   323    0.21136E+04    0.13981E+02    0.22237E-01    0.71886E+02
   324    0.20911E+04    0.14102E+02    0.22313E-01    0.70572E+02
   325    0.20691E+04    0.14218E+02    0.22388E-01    0.69247E+02
   326    0.20474E+04    0.14335E+02    0.22463E-01    0.67882E+02
   327    0.20261E+04    0.14448E+02    0.22538E-01    0.66499E+02
   328    0.20052E+04    0.14558E+02    0.22613E-01    0.65099E+02
