#    L    TT             EE             BB             TE             PP             TP             EP          
   215    0.55139E+04    0.70885E+00    0.00000E+00    0.52535E+01    0.63087E-07    0.13305E-03   -0.16588E-06
   216    0.55149E+04    0.72300E+00    0.00000E+00    0.67726E+01    0.62788E-07    0.13196E-03   -0.15019E-06
   217    0.55154E+04    0.73853E+00    0.00000E+00    0.83038E+01    0.62492E-07    0.13089E-03   -0.13451E-06
   218    0.55152E+04    0.75542E+00    0.00000E+00    0.98473E+01    0.62197E-07    0.12982E-03   -0.11883E-06
   219    0.55143E+04    0.77368E+00    0.00000E+00    0.11404E+02    0.61905E-07    0.12876E-03   -0.10316E-06
   220    0.55129E+04    0.79346E+00    0.00000E+00    0.12970E+02    0.61616E-07    0.12771E-03   -0.87496E-07
   221    0.55109E+04    0.81468E+00    0.00000E+00    0.14546E+02    0.61328E-07    0.12667E-03   -0.71850E-07
   222    0.55083E+04    0.83748E+00    0.00000E+00    0.16133E+02    0.61042E-07    0.12564E-03   -0.56219E-07
   223    0.55049E+04    0.86179E+00    0.00000E+00    0.17729E+02    0.60759E-07    0.12462E-03   -0.40608E-07
   224    0.55011E+04    0.88761E+00    0.00000E+00    0.19332E+02    0.60477E-07    0.12360E-03   -0.25017E-07
   225    0.54966E+04    0.91508E+00    0.00000E+00    0.20944E+02    0.60198E-07    0.12260E-03   -0.94507E-08
   226    0.54914E+04    0.94420E+00    0.00000E+00    0.22563E+02    0.59920E-07    0.12160E-03    0.60897E-08
   227    0.54857E+04    0.97497E+00    0.00000E+00    0.24188E+02    0.59645E-07    0.12061E-03    0.21601E-07
   228    0.54793E+04    0.10074E+01    0.00000E+00    0.25819E+02    0.59372E-07    0.11963E-03    0.37082E-07
   229    0.54724E+04    0.10415E+01    0.00000E+00    0.27454E+02    0.59100E-07    0.11866E-03    0.52528E-07
   230    0.54648E+04    0.10774E+01    0.00000E+00    0.29094E+02    0.58831E-07    0.11769E-03    0.67939E-07
