#    L    TT             EE             BB             TE          
   144    0.41605E+04    0.11211E+01    0.73411E-02   -0.45291E+02
   145    0.41940E+04    0.11183E+01    0.74514E-02   -0.45435E+02
   146    0.42275E+04    0.11150E+01    0.75627E-02   -0.45557E+02
   147    0.42606E+04    0.11112E+01    0.76750E-02   -0.45654E+02
   148    0.42936E+04    0.11069E+01    0.77884E-02   -0.45729E+02
   149    0.43265E+04    0.11022E+01    0.79029E-02   -0.45779E+02
   150    0.43591E+04    0.10971E+01    0.80184E-02   -0.45803E+02
   151    0.43915E+04    0.10915E+01    0.81350E-02   -0.45804E+02
   152    0.44236E+04    0.10854E+01    0.82526E-02   -0.45780E+02
   153    0.44556E+04    0.10790E+01    0.83713E-02   -0.45729E+02
   154    0.44873E+04    0.10722E+01    0.84911E-02   -0.45653E+02
   155    0.45188E+04    0.10649E+01    0.86119E-02   -0.45551E+02
   156    0.45499E+04    0.10574E+01    0.87339E-02   -0.45424E+02
   157    0.45809E+04    0.10494E+01    0.88569E-02   -0.45270E+02
   158    0.46115E+04    0.10412E+01    0.89810E-02   -0.45089E+02
   159    0.46419E+04    0.10325E+01    0.91063E-02   -0.44882E+02
   160    0.46720E+04    0.10236E+01    0.92326E-02   -0.44648E+02
   161    0.47019E+04    0.10144E+01    0.93601E-02   -0.44387E+02
   162    0.47314E+04    0.10049E+01    0.94887E-02   -0.44099E+02
   163    0.47607E+04    0.99512E+00    0.96184E-02   -0.43784E+02
   164    0.47896E+04    0.98512E+00    0.97492E-02   -0.43443E+02
   165    0.48183E+04    0.97485E+00    0.98811E-02   -0.43072E+02
   166    0.48467E+04    0.96444E+00    0.10014E-01   -0.42675E+02
   167    0.48748E+04    0.95370E+00    0.10148E-01   -0.42252E+02
   168    0.49024E+04    0.94297E+00    0.10284E-01   -0.41800E+02
   169    0.49297E+04    0.93198E+00    0.10420E-01   -0.41319E+02
   170    0.49567E+04    0.92095E+00    0.10557E-01   -0.40812E+02
   171    0.49831E+04    0.90987E+00    0.10696E-01   -0.40275E+02
   172    0.50092E+04    0.89868E+00    0.10835E-01   -0.39710E+02
   173    0.50347E+04    0.88737E+00    0.10976E-01   -0.39118E+02
   174    0.50600E+04    0.87625E+00    0.11118E-01   -0.38498E+02
   175    0.50848E+04    0.86503E+00    0.11260E-01   -0.37849E+02
   176    0.51090E+04    0.85392E+00    0.11404E-01   -0.37172E+02
   177    0.51328E+04    0.84285E+00    0.11549E-01   -0.36467E+02
   178    0.51561E+04    0.83205E+00    0.11695E-01   -0.35735E+02
   179    0.51790E+04    0.82123E+00    0.11842E-01   -0.34974E+02
   180    0.52014E+04    0.81061E+00    0.11990E-01   -0.34186E+02
