#    L    TT             EE             BB             TE          
   234    0.62004E+04    0.15359E+01    0.17508E-01    0.43896E+02
   235    0.61892E+04    0.15913E+01    0.17664E-01    0.45748E+02
   236    0.61772E+04    0.16488E+01    0.17820E-01    0.47599E+02
   237    0.61646E+04    0.17086E+01    0.17977E-01    0.49449E+02
   238    0.61513E+04    0.17707E+01    0.18133E-01    0.51298E+02
   239    0.61374E+04    0.18349E+01    0.18290E-01    0.53144E+02
   240    0.61226E+04    0.19013E+01    0.18446E-01    0.54985E+02
   241    0.61074E+04    0.19700E+01    0.18603E-01    0.56822E+02
   242    0.60915E+04    0.20410E+01    0.18759E-01    0.58654E+02
   243    0.60749E+04    0.21144E+01    0.18916E-01    0.60479E+02
   244    0.60577E+04    0.21900E+01    0.19072E-01    0.62299E+02
   245    0.60398E+04    0.22680E+01    0.19229E-01    0.64109E+02
   246    0.60213E+04    0.23484E+01    0.19386E-01    0.65912E+02
   247    0.60022E+04    0.24311E+01    0.19542E-01    0.67705E+02
   248    0.59824E+04    0.25164E+01    0.19699E-01    0.69488E+02
   249    0.59621E+04    0.26039E+01    0.19855E-01    0.71260E+02
   250    0.59412E+04    0.26940E+01    0.20012E-01    0.73019E+02
   251    0.59197E+04    0.27864E+01    0.20168E-01    0.74767E+02
   252    0.58975E+04    0.28813E+01    0.20324E-01    0.76502E+02
   253    0.58750E+04    0.29785E+01    0.20480E-01    0.78221E+02
   254    0.58518E+04    0.30783E+01    0.20636E-01    0.79926E+02
   255    0.58280E+04    0.31803E+01    0.20791E-01    0.81616E+02
   256    0.58037E+04    0.32850E+01    0.20947E-01    0.83291E+02
   257    0.57789E+04    0.33919E+01    0.21102E-01    0.84942E+02
   258    0.57535E+04    0.35013E+01    0.21257E-01    0.86583E+02
   259    0.57276E+04    0.36131E+01    0.21411E-01    0.88198E+02
   260    0.57013E+04    0.37274E+01    0.21565E-01    0.89803E+02
   261    0.56745E+04    0.38439E+01    0.21719E-01    0.91374E+02
   262    0.56470E+04    0.39629E+01    0.21873E-01    0.92935E+02
   263    0.56194E+04    0.40842E+01    0.22026E-01    0.94477E+02
   264    0.55911E+04    0.42079E+01    0.22179E-01    0.95993E+02
   265    0.55623E+04    0.43339E+01    0.22332E-01    0.97476E+02
   266    0.55331E+04    0.44624E+01    0.22484E-01    0.98948E+02
   267    0.55034E+04    0.45930E+01    0.22635E-01    0.10039E+03
   268    0.54733E+04    0.47261E+01    0.22787E-01    0.10181E+03
