#    L    TT             EE             TE             PP             TP          
   182    0.53249E+04    0.78022E+00   -0.32999E+02    0.32102E+07    0.34051E+04
   183    0.53463E+04    0.76989E+00   -0.32117E+02    0.31937E+07    0.33765E+04
   184    0.53672E+04    0.75985E+00   -0.31207E+02    0.31773E+07    0.33481E+04
   185    0.53877E+04    0.75024E+00   -0.30272E+02    0.31610E+07    0.33201E+04
   186    0.54072E+04    0.74093E+00   -0.29308E+02    0.31448E+07    0.32924E+04
   187    0.54266E+04    0.73207E+00   -0.28317E+02    0.31288E+07    0.32650E+04
   188    0.54454E+04    0.72364E+00   -0.27301E+02    0.31129E+07    0.32378E+04
   189    0.54635E+04    0.71568E+00   -0.26258E+02    0.30971E+07    0.32110E+04
   190    0.54815E+04    0.70825E+00   -0.25190E+02    0.30814E+07    0.31844E+04
   191    0.54985E+04    0.70137E+00   -0.24095E+02    0.30659E+07    0.31581E+04
   192    0.55151E+04    0.69507E+00   -0.22974E+02    0.30505E+07    0.31321E+04
   193    0.55311E+04    0.68940E+00   -0.21830E+02    0.30352E+07    0.31063E+04
   194    0.55466E+04    0.68438E+00   -0.20660E+02    0.30200E+07    0.30807E+04
   195    0.55615E+04    0.68007E+00   -0.19466E+02    0.30049E+07    0.30555E+04
   196    0.55758E+04    0.67649E+00   -0.18248E+02    0.29900E+07    0.30304E+04
   197    0.55896E+04    0.67370E+00   -0.17007E+02    0.29751E+07    0.30056E+04
   198    0.56028E+04    0.67173E+00   -0.15743E+02    0.29604E+07    0.29811E+04
   199    0.56155E+04    0.67061E+00   -0.14456E+02    0.29458E+07    0.29567E+04
   200    0.56275E+04    0.67038E+00   -0.13147E+02    0.29313E+07    0.29326E+04
   201    0.56390E+04    0.67109E+00   -0.11816E+02    0.29169E+07    0.29087E+04
   202    0.56499E+04    0.67276E+00   -0.10463E+02    0.29026E+07    0.28850E+04
   203    0.56601E+04    0.67545E+00   -0.90893E+01    0.28884E+07    0.28615E+04
