#    L    TT             EE             BB             TE             PP             TP             EP          
    98    0.28611E+04    0.78447E+00    0.00000E+00   -0.23936E+02    0.96882E-07    0.44123E-03   -0.69378E-06
    99    0.28962E+04    0.80022E+00    0.00000E+00   -0.24649E+02    0.96211E-07    0.43666E-03   -0.70906E-06
   100    0.29317E+04    0.81581E+00    0.00000E+00   -0.25361E+02    0.95544E-07    0.43217E-03   -0.72563E-06
   101    0.29672E+04    0.83130E+00    0.00000E+00   -0.26074E+02    0.94882E-07    0.42777E-03   -0.74318E-06
   102    0.30034E+04    0.84655E+00    0.00000E+00   -0.26786E+02    0.94224E-07    0.42345E-03   -0.76140E-06
   103    0.30394E+04    0.86163E+00    0.00000E+00   -0.27499E+02    0.93571E-07    0.41921E-03   -0.77996E-06
   104    0.30758E+04    0.87654E+00    0.00000E+00   -0.28208E+02    0.92923E-07    0.41505E-03   -0.79855E-06
   105    0.31122E+04    0.89120E+00    0.00000E+00   -0.28917E+02    0.92280E-07    0.41097E-03   -0.81686E-06
   106    0.31490E+04    0.90569E+00    0.00000E+00   -0.29623E+02    0.91641E-07    0.40696E-03   -0.83457E-06
   107    0.31856E+04    0.91986E+00    0.00000E+00   -0.30326E+02    0.91008E-07    0.40301E-03   -0.85136E-06
   108    0.32227E+04    0.93378E+00    0.00000E+00   -0.31027E+02    0.90379E-07    0.39914E-03   -0.86691E-06
   109    0.32599E+04    0.94738E+00    0.00000E+00   -0.31723E+02    0.89756E-07    0.39532E-03   -0.88092E-06
   110    0.32972E+04    0.96065E+00    0.00000E+00   -0.32414E+02    0.89137E-07    0.39157E-03   -0.89306E-06
   111    0.33346E+04    0.97367E+00    0.00000E+00   -0.33100E+02    0.88524E-07    0.38788E-03   -0.90310E-06
   112    0.33722E+04    0.98637E+00    0.00000E+00   -0.33782E+02    0.87916E-07    0.38424E-03   -0.91107E-06
   113    0.34101E+04    0.99874E+00    0.00000E+00   -0.34457E+02    0.87312E-07    0.38066E-03   -0.91711E-06
   114    0.34480E+04    0.10107E+01    0.00000E+00   -0.35125E+02    0.86714E-07    0.37714E-03   -0.92133E-06
   115    0.34862E+04    0.10224E+01    0.00000E+00   -0.35785E+02    0.86121E-07    0.37367E-03   -0.92385E-06
   116    0.35244E+04    0.10336E+01    0.00000E+00   -0.36437E+02    0.85533E-07    0.37025E-03   -0.92480E-06
   117    0.35628E+04    0.10445E+01    0.00000E+00   -0.37080E+02    0.84950E-07    0.36688E-03   -0.92428E-06
   118    0.36014E+04    0.10550E+01    0.00000E+00   -0.37714E+02    0.84371E-07    0.36356E-03   -0.92243E-06
   119    0.36401E+04    0.10652E+01    0.00000E+00   -0.38338E+02    0.83798E-07    0.36030E-03   -0.91935E-06
   120    0.36789E+04    0.10748E+01    0.00000E+00   -0.38950E+02    0.83229E-07    0.35708E-03   -0.91518E-06
   121    0.37176E+04    0.10842E+01    0.00000E+00   -0.39552E+02    0.82665E-07    0.35391E-03   -0.91003E-06
   122    0.37565E+04    0.10929E+01    0.00000E+00   -0.40142E+02    0.82107E-07    0.35078E-03   -0.90402E-06
   123    0.37954E+04    0.11012E+01    0.00000E+00   -0.40719E+02    0.81553E-07    0.34770E-03   -0.89727E-06
   124    0.38344E+04    0.11091E+01    0.00000E+00   -0.41282E+02    0.81003E-07    0.34467E-03   -0.88991E-06
   125    0.38734E+04    0.11165E+01    0.00000E+00   -0.41832E+02    0.80459E-07    0.34168E-03   -0.88204E-06
   126    0.39125E+04    0.11235E+01    0.00000E+00   -0.42368E+02    0.79919E-07    0.33873E-03   -0.87378E-06
   127    0.39516E+04    0.11299E+01    0.00000E+00   -0.42889E+02    0.79384E-07    0.33582E-03   -0.86527E-06
   128    0.39906E+04    0.11359E+01    0.00000E+00   -0.43395E+02    0.78853E-07    0.33295E-03   -0.85662E-06
   129    0.40298E+04    0.11414E+01    0.00000E+00   -0.43884E+02    0.78328E-07    0.33013E-03   -0.84794E-06
   130    0.40689E+04    0.11462E+01    0.00000E+00   -0.44356E+02    0.77807E-07    0.32733E-03   -0.83936E-06
   131    0.41080E+04    0.11507E+01    0.00000E+00   -0.44813E+02    0.77290E-07    0.32458E-03   -0.83097E-06
   132    0.41472E+04    0.11546E+01    0.00000E+00   -0.45250E+02    0.76778E-07    0.32187E-03   -0.82281E-06
   133    0.41863E+04    0.11580E+01    0.00000E+00   -0.45671E+02    0.76271E-07    0.31918E-03   -0.81488E-06
   134    0.42254E+04    0.11609E+01    0.00000E+00   -0.46071E+02    0.75768E-07    0.31654E-03   -0.80719E-06
   135    0.42644E+04    0.11632E+01    0.00000E+00   -0.46453E+02    0.75270E-07    0.31392E-03   -0.79975E-06
   136    0.43033E+04    0.11650E+01    0.00000E+00   -0.46813E+02    0.74776E-07    0.31134E-03   -0.79257E-06
   137    0.43422E+04    0.11663E+01    0.00000E+00   -0.47153E+02    0.74287E-07    0.30879E-03   -0.78566E-06
   138    0.43810E+04    0.11670E+01    0.00000E+00   -0.47472E+02    0.73802E-07    0.30628E-03   -0.77902E-06
   139    0.44196E+04    0.11673E+01    0.00000E+00   -0.47769E+02    0.73322E-07    0.30379E-03   -0.77266E-06
   140    0.44582E+04    0.11670E+01    0.00000E+00   -0.48045E+02    0.72845E-07    0.30133E-03   -0.76660E-06
   141    0.44965E+04    0.11661E+01    0.00000E+00   -0.48297E+02    0.72373E-07    0.29890E-03   -0.76084E-06
   142    0.45348E+04    0.11647E+01    0.00000E+00   -0.48527E+02    0.71906E-07    0.29650E-03   -0.75538E-06
   143    0.45731E+04    0.11628E+01    0.00000E+00   -0.48733E+02    0.71442E-07    0.29412E-03   -0.75024E-06
   144    0.46111E+04    0.11604E+01    0.00000E+00   -0.48916E+02    0.70983E-07    0.29177E-03   -0.74543E-06
   145    0.46489E+04    0.11576E+01    0.00000E+00   -0.49075E+02    0.70528E-07    0.28944E-03   -0.74095E-06
   146    0.46867E+04    0.11541E+01    0.00000E+00   -0.49209E+02    0.70077E-07    0.28714E-03   -0.73682E-06
   147    0.47241E+04    0.11502E+01    0.00000E+00   -0.49317E+02    0.69630E-07    0.28486E-03   -0.73303E-06
   148    0.47614E+04    0.11458E+01    0.00000E+00   -0.49401E+02    0.69187E-07    0.28260E-03   -0.72961E-06
   149    0.47986E+04    0.11409E+01    0.00000E+00   -0.49458E+02    0.68748E-07    0.28037E-03   -0.72655E-06
   150    0.48354E+04    0.11356E+01    0.00000E+00   -0.49488E+02    0.68313E-07    0.27815E-03   -0.72387E-06
   151    0.48720E+04    0.11298E+01    0.00000E+00   -0.49492E+02    0.67883E-07    0.27596E-03   -0.72156E-06
   152    0.49083E+04    0.11235E+01    0.00000E+00   -0.49469E+02    0.67456E-07    0.27378E-03   -0.71960E-06
   153    0.49444E+04    0.11167E+01    0.00000E+00   -0.49417E+02    0.67033E-07    0.27162E-03   -0.71793E-06
   154    0.49802E+04    0.11096E+01    0.00000E+00   -0.49339E+02    0.66614E-07    0.26948E-03   -0.71650E-06
   155    0.50158E+04    0.11020E+01    0.00000E+00   -0.49232E+02    0.66199E-07    0.26736E-03   -0.71528E-06
   156    0.50509E+04    0.10941E+01    0.00000E+00   -0.49098E+02    0.65787E-07    0.26526E-03   -0.71421E-06
   157    0.50859E+04    0.10858E+01    0.00000E+00   -0.48935E+02    0.65379E-07    0.26318E-03   -0.71325E-06
   158    0.51205E+04    0.10772E+01    0.00000E+00   -0.48744E+02    0.64976E-07    0.26112E-03   -0.71235E-06
   159    0.51548E+04    0.10681E+01    0.00000E+00   -0.48524E+02    0.64575E-07    0.25908E-03   -0.71147E-06
   160    0.51888E+04    0.10587E+01    0.00000E+00   -0.48274E+02    0.64179E-07    0.25705E-03   -0.71055E-06
   161    0.52226E+04    0.10490E+01    0.00000E+00   -0.47995E+02    0.63786E-07    0.25505E-03   -0.70957E-06
   162    0.52559E+04    0.10390E+01    0.00000E+00   -0.47688E+02    0.63396E-07    0.25306E-03   -0.70846E-06
   163    0.52891E+04    0.10287E+01    0.00000E+00   -0.47351E+02    0.63011E-07    0.25109E-03   -0.70719E-06
   164    0.53217E+04    0.10182E+01    0.00000E+00   -0.46985E+02    0.62628E-07    0.24914E-03   -0.70570E-06
   165    0.53541E+04    0.10074E+01    0.00000E+00   -0.46589E+02    0.62250E-07    0.24721E-03   -0.70396E-06
   166    0.53861E+04    0.99642E+00    0.00000E+00   -0.46163E+02    0.61874E-07    0.24530E-03   -0.70190E-06
   167    0.54179E+04    0.98508E+00    0.00000E+00   -0.45709E+02    0.61502E-07    0.24341E-03   -0.69950E-06
   168    0.54491E+04    0.97376E+00    0.00000E+00   -0.45224E+02    0.61134E-07    0.24153E-03   -0.69671E-06
   169    0.54799E+04    0.96216E+00    0.00000E+00   -0.44708E+02    0.60769E-07    0.23967E-03   -0.69347E-06
   170    0.55103E+04    0.95049E+00    0.00000E+00   -0.44162E+02    0.60407E-07    0.23783E-03   -0.68974E-06
   171    0.55402E+04    0.93877E+00    0.00000E+00   -0.43585E+02    0.60048E-07    0.23601E-03   -0.68547E-06
   172    0.55697E+04    0.92692E+00    0.00000E+00   -0.42977E+02    0.59693E-07    0.23421E-03   -0.68063E-06
   173    0.55986E+04    0.91494E+00    0.00000E+00   -0.42340E+02    0.59341E-07    0.23242E-03   -0.67516E-06
   174    0.56271E+04    0.90314E+00    0.00000E+00   -0.41672E+02    0.58992E-07    0.23065E-03   -0.66902E-06
   175    0.56552E+04    0.89121E+00    0.00000E+00   -0.40973E+02    0.58646E-07    0.22890E-03   -0.66216E-06
   176    0.56826E+04    0.87939E+00    0.00000E+00   -0.40243E+02    0.58303E-07    0.22717E-03   -0.65455E-06
   177    0.57096E+04    0.86761E+00    0.00000E+00   -0.39483E+02    0.57964E-07    0.22545E-03   -0.64621E-06
   178    0.57360E+04    0.85609E+00    0.00000E+00   -0.38693E+02    0.57627E-07    0.22376E-03   -0.63717E-06
   179    0.57618E+04    0.84453E+00    0.00000E+00   -0.37872E+02    0.57294E-07    0.22207E-03   -0.62747E-06
   180    0.57873E+04    0.83317E+00    0.00000E+00   -0.37021E+02    0.56963E-07    0.22041E-03   -0.61712E-06
   181    0.58121E+04    0.82202E+00    0.00000E+00   -0.36141E+02    0.56636E-07    0.21876E-03   -0.60617E-06
   182    0.58364E+04    0.81114E+00    0.00000E+00   -0.35230E+02    0.56311E-07    0.21713E-03   -0.59465E-06
   183    0.58601E+04    0.80048E+00    0.00000E+00   -0.34291E+02    0.55989E-07    0.21551E-03   -0.58259E-06
   184    0.58833E+04    0.79010E+00    0.00000E+00   -0.33321E+02    0.55671E-07    0.21391E-03   -0.57002E-06
   185    0.59060E+04    0.78016E+00    0.00000E+00   -0.32324E+02    0.55355E-07    0.21232E-03   -0.55697E-06
   186    0.59277E+04    0.77053E+00    0.00000E+00   -0.31296E+02    0.55041E-07    0.21075E-03   -0.54348E-06
   187    0.59492E+04    0.76135E+00    0.00000E+00   -0.30239E+02    0.54731E-07    0.20919E-03   -0.52957E-06
   188    0.59701E+04    0.75261E+00    0.00000E+00   -0.29155E+02    0.54423E-07    0.20765E-03   -0.51528E-06
   189    0.59902E+04    0.74435E+00    0.00000E+00   -0.28041E+02    0.54118E-07    0.20612E-03   -0.50064E-06
   190    0.60102E+04    0.73663E+00    0.00000E+00   -0.26901E+02    0.53816E-07    0.20460E-03   -0.48569E-06
   191    0.60291E+04    0.72947E+00    0.00000E+00   -0.25732E+02    0.53517E-07    0.20310E-03   -0.47044E-06
   192    0.60475E+04    0.72291E+00    0.00000E+00   -0.24536E+02    0.53220E-07    0.20160E-03   -0.45494E-06
   193    0.60653E+04    0.71698E+00    0.00000E+00   -0.23313E+02    0.52925E-07    0.20013E-03   -0.43922E-06
   194    0.60826E+04    0.71173E+00    0.00000E+00   -0.22063E+02    0.52633E-07    0.19866E-03   -0.42331E-06
   195    0.60991E+04    0.70720E+00    0.00000E+00   -0.20787E+02    0.52344E-07    0.19720E-03   -0.40723E-06
   196    0.61150E+04    0.70342E+00    0.00000E+00   -0.19485E+02    0.52057E-07    0.19576E-03   -0.39103E-06
   197    0.61304E+04    0.70045E+00    0.00000E+00   -0.18158E+02    0.51773E-07    0.19433E-03   -0.37473E-06
   198    0.61451E+04    0.69832E+00    0.00000E+00   -0.16806E+02    0.51491E-07    0.19291E-03   -0.35837E-06
   199    0.61592E+04    0.69706E+00    0.00000E+00   -0.15429E+02    0.51212E-07    0.19150E-03   -0.34197E-06
   200    0.61726E+04    0.69670E+00    0.00000E+00   -0.14028E+02    0.50935E-07    0.19010E-03   -0.32558E-06
   201    0.61854E+04    0.69733E+00    0.00000E+00   -0.12602E+02    0.50660E-07    0.18871E-03   -0.30921E-06
   202    0.61976E+04    0.69893E+00    0.00000E+00   -0.11154E+02    0.50388E-07    0.18732E-03   -0.29286E-06
   203    0.62090E+04    0.70158E+00    0.00000E+00   -0.96815E+01    0.50118E-07    0.18595E-03   -0.27656E-06
   204    0.62197E+04    0.70529E+00    0.00000E+00   -0.81889E+01    0.49850E-07    0.18459E-03   -0.26028E-06
   205    0.62297E+04    0.71013E+00    0.00000E+00   -0.66735E+01    0.49585E-07    0.18324E-03   -0.24404E-06
   206    0.62390E+04    0.71611E+00    0.00000E+00   -0.51368E+01    0.49321E-07    0.18190E-03   -0.22783E-06
   207    0.62477E+04    0.72327E+00    0.00000E+00   -0.35793E+01    0.49060E-07    0.18057E-03   -0.21166E-06
   208    0.62555E+04    0.73167E+00    0.00000E+00   -0.20017E+01    0.48802E-07    0.17925E-03   -0.19552E-06
   209    0.62626E+04    0.74132E+00    0.00000E+00   -0.40439E+00    0.48545E-07    0.17793E-03   -0.17942E-06
   210    0.62691E+04    0.75228E+00    0.00000E+00    0.12116E+01    0.48291E-07    0.17663E-03   -0.16336E-06
   211    0.62748E+04    0.76458E+00    0.00000E+00    0.28462E+01    0.48038E-07    0.17534E-03   -0.14733E-06
   212    0.62797E+04    0.77826E+00    0.00000E+00    0.44982E+01    0.47788E-07    0.17405E-03   -0.13135E-06
   213    0.62840E+04    0.79336E+00    0.00000E+00    0.61677E+01    0.47540E-07    0.17277E-03   -0.11540E-06
   214    0.62876E+04    0.80987E+00    0.00000E+00    0.78533E+01    0.47294E-07    0.17151E-03   -0.99497E-07
   215    0.62904E+04    0.82799E+00    0.00000E+00    0.95543E+01    0.47050E-07    0.17025E-03   -0.83633E-07
   216    0.62925E+04    0.84754E+00    0.00000E+00    0.11271E+02    0.46808E-07    0.16900E-03   -0.67811E-07
   217    0.62939E+04    0.86867E+00    0.00000E+00    0.13001E+02    0.46568E-07    0.16776E-03   -0.52032E-07
   218    0.62946E+04    0.89139E+00    0.00000E+00    0.14745E+02    0.46331E-07    0.16653E-03   -0.36296E-07
   219    0.62946E+04    0.91570E+00    0.00000E+00    0.16504E+02    0.46095E-07    0.16530E-03   -0.20605E-07
   220    0.62940E+04    0.94175E+00    0.00000E+00    0.18272E+02    0.45861E-07    0.16409E-03   -0.49592E-08
   221    0.62926E+04    0.96946E+00    0.00000E+00    0.20053E+02    0.45629E-07    0.16288E-03    0.10641E-07
   222    0.62905E+04    0.99899E+00    0.00000E+00    0.21845E+02    0.45399E-07    0.16169E-03    0.26194E-07
   223    0.62877E+04    0.10303E+01    0.00000E+00    0.23647E+02    0.45171E-07    0.16050E-03    0.41700E-07
   224    0.62843E+04    0.10633E+01    0.00000E+00    0.25457E+02    0.44945E-07    0.15932E-03    0.57158E-07
   225    0.62801E+04    0.10982E+01    0.00000E+00    0.27278E+02    0.44720E-07    0.15815E-03    0.72566E-07
   226    0.62752E+04    0.11350E+01    0.00000E+00    0.29104E+02    0.44498E-07    0.15698E-03    0.87925E-07
   227    0.62696E+04    0.11737E+01    0.00000E+00    0.30939E+02    0.44277E-07    0.15582E-03    0.10323E-06
   228    0.62634E+04    0.12144E+01    0.00000E+00    0.32780E+02    0.44058E-07    0.15468E-03    0.11849E-06
   229    0.62565E+04    0.12570E+01    0.00000E+00    0.34625E+02    0.43841E-07    0.15354E-03    0.13369E-06
   230    0.62488E+04    0.13015E+01    0.00000E+00    0.36476E+02    0.43625E-07    0.15240E-03    0.14885E-06
