#    L    TT             EE             BB             TE          
   156    0.49457E+04    0.11117E+01    0.80968E-02   -0.48849E+02
   157    0.49800E+04    0.11039E+01    0.82110E-02   -0.48713E+02
   158    0.50140E+04    0.10958E+01    0.83262E-02   -0.48550E+02
   159    0.50476E+04    0.10873E+01    0.84425E-02   -0.48359E+02
   160    0.50810E+04    0.10784E+01    0.85598E-02   -0.48138E+02
   161    0.51141E+04    0.10693E+01    0.86782E-02   -0.47890E+02
   162    0.51468E+04    0.10598E+01    0.87977E-02   -0.47615E+02
   163    0.51794E+04    0.10500E+01    0.89182E-02   -0.47310E+02
   164    0.52114E+04    0.10399E+01    0.90398E-02   -0.46977E+02
   165    0.52433E+04    0.10296E+01    0.91624E-02   -0.46615E+02
   166    0.52748E+04    0.10191E+01    0.92861E-02   -0.46224E+02
   167    0.53060E+04    0.10082E+01    0.94108E-02   -0.45805E+02
   168    0.53367E+04    0.99727E+00    0.95366E-02   -0.45355E+02
   169    0.53671E+04    0.98606E+00    0.96634E-02   -0.44876E+02
   170    0.53971E+04    0.97477E+00    0.97912E-02   -0.44369E+02
   171    0.54266E+04    0.96340E+00    0.99201E-02   -0.43830E+02
   172    0.54556E+04    0.95188E+00    0.10050E-01   -0.43262E+02
   173    0.54841E+04    0.94021E+00    0.10181E-01   -0.42664E+02
   174    0.55123E+04    0.92869E+00    0.10313E-01   -0.42037E+02
   175    0.55400E+04    0.91702E+00    0.10446E-01   -0.41379E+02
   176    0.55671E+04    0.90543E+00    0.10580E-01   -0.40692E+02
   177    0.55938E+04    0.89384E+00    0.10714E-01   -0.39975E+02
   178    0.56199E+04    0.88249E+00    0.10850E-01   -0.39229E+02
   179    0.56455E+04    0.87107E+00    0.10987E-01   -0.38452E+02
   180    0.56707E+04    0.85981E+00    0.11125E-01   -0.37646E+02
   181    0.56954E+04    0.84872E+00    0.11264E-01   -0.36812E+02
   182    0.57195E+04    0.83788E+00    0.11404E-01   -0.35947E+02
   183    0.57430E+04    0.82720E+00    0.11545E-01   -0.35055E+02
   184    0.57661E+04    0.81677E+00    0.11687E-01   -0.34132E+02
   185    0.57886E+04    0.80675E+00    0.11830E-01   -0.33183E+02
   186    0.58102E+04    0.79698E+00    0.11974E-01   -0.32204E+02
   187    0.58317E+04    0.78762E+00    0.12119E-01   -0.31196E+02
   188    0.58525E+04    0.77865E+00    0.12265E-01   -0.30161E+02
   189    0.58726E+04    0.77011E+00    0.12412E-01   -0.29098E+02
   190    0.58925E+04    0.76206E+00    0.12560E-01   -0.28009E+02
   191    0.59115E+04    0.75452E+00    0.12709E-01   -0.26890E+02
   192    0.59300E+04    0.74753E+00    0.12859E-01   -0.25745E+02
   193    0.59478E+04    0.74111E+00    0.13009E-01   -0.24574E+02
   194    0.59652E+04    0.73531E+00    0.13161E-01   -0.23376E+02
   195    0.59819E+04    0.73017E+00    0.13313E-01   -0.22153E+02
   196    0.59979E+04    0.72573E+00    0.13466E-01   -0.20903E+02
   197    0.60134E+04    0.72202E+00    0.13620E-01   -0.19629E+02
   198    0.60283E+04    0.71909E+00    0.13775E-01   -0.18330E+02
   199    0.60426E+04    0.71697E+00    0.13931E-01   -0.17007E+02
   200    0.60563E+04    0.71569E+00    0.14087E-01   -0.15659E+02
   201    0.60693E+04    0.71531E+00    0.14244E-01   -0.14288E+02
   202    0.60817E+04    0.71584E+00    0.14403E-01   -0.12893E+02
   203    0.60935E+04    0.71734E+00    0.14562E-01   -0.11476E+02
   204    0.61045E+04    0.71985E+00    0.14721E-01   -0.10037E+02
   205    0.61149E+04    0.72339E+00    0.14882E-01   -0.85765E+01
   206    0.61245E+04    0.72802E+00    0.15043E-01   -0.70945E+01
   207    0.61336E+04    0.73376E+00    0.15205E-01   -0.55917E+01
   208    0.61418E+04    0.74065E+00    0.15368E-01   -0.40688E+01
   209    0.61494E+04    0.74873E+00    0.15532E-01   -0.25262E+01
   210    0.61563E+04    0.75804E+00    0.15696E-01   -0.96490E+00
   211    0.61625E+04    0.76863E+00    0.15861E-01    0.61500E+00
   212    0.61679E+04    0.78051E+00    0.16026E-01    0.22125E+01
   213    0.61727E+04    0.79374E+00    0.16192E-01    0.38275E+01
   214    0.61768E+04    0.80831E+00    0.16359E-01    0.54589E+01
   215    0.61802E+04    0.82442E+00    0.16526E-01    0.71056E+01
   216    0.61829E+04    0.84187E+00    0.16694E-01    0.87683E+01
   217    0.61849E+04    0.86084E+00    0.16863E-01    0.10445E+02
   218    0.61862E+04    0.88131E+00    0.17032E-01    0.12135E+02
   219    0.61869E+04    0.90329E+00    0.17201E-01    0.13841E+02
   220    0.61869E+04    0.92694E+00    0.17371E-01    0.15556E+02
   221    0.61862E+04    0.95218E+00    0.17542E-01    0.17285E+02
   222    0.61848E+04    0.97915E+00    0.17713E-01    0.19024E+02
   223    0.61827E+04    0.10078E+01    0.17884E-01    0.20775E+02
   224    0.61800E+04    0.10381E+01    0.18056E-01    0.22533E+02
   225    0.61766E+04    0.10702E+01    0.18228E-01    0.24303E+02
   226    0.61725E+04    0.11042E+01    0.18401E-01    0.26079E+02
   227    0.61677E+04    0.11399E+01    0.18574E-01    0.27864E+02
   228    0.61622E+04    0.11775E+01    0.18748E-01    0.29655E+02
   229    0.61562E+04    0.12170E+01    0.18921E-01    0.31452E+02
   230    0.61493E+04    0.12584E+01    0.19096E-01    0.33254E+02
   231    0.61418E+04    0.13017E+01    0.19270E-01    0.35062E+02
   232    0.61336E+04    0.13470E+01    0.19445E-01    0.36873E+02
   233    0.61248E+04    0.13944E+01    0.19620E-01    0.38686E+02
   234    0.61152E+04    0.14437E+01    0.19795E-01    0.40502E+02
   235    0.61050E+04    0.14952E+01    0.19971E-01    0.42319E+02
   236    0.60940E+04    0.15486E+01    0.20146E-01    0.44137E+02
   237    0.60824E+04    0.16042E+01    0.20322E-01    0.45955E+02
   238    0.60701E+04    0.16621E+01    0.20498E-01    0.47772E+02
   239    0.60573E+04    0.17219E+01    0.20674E-01    0.49588E+02
   240    0.60436E+04    0.17839E+01    0.20850E-01    0.51400E+02
   241    0.60295E+04    0.18482E+01    0.21026E-01    0.53209E+02
   242    0.60146E+04    0.19147E+01    0.21203E-01    0.55014E+02
   243    0.59991E+04    0.19834E+01    0.21379E-01    0.56814E+02
   244    0.59830E+04    0.20543E+01    0.21555E-01    0.58609E+02
   245    0.59662E+04    0.21275E+01    0.21732E-01    0.60396E+02
   246    0.59488E+04    0.22030E+01    0.21908E-01    0.62177E+02
   247    0.59308E+04    0.22808E+01    0.22084E-01    0.63949E+02
   248    0.59122E+04    0.23611E+01    0.22261E-01    0.65713E+02
   249    0.58930E+04    0.24435E+01    0.22437E-01    0.67467E+02
   250    0.58732E+04    0.25284E+01    0.22613E-01    0.69211E+02
   251    0.58529E+04    0.26156E+01    0.22789E-01    0.70943E+02
   252    0.58318E+04    0.27051E+01    0.22965E-01    0.72664E+02
   253    0.58104E+04    0.27969E+01    0.23141E-01    0.74372E+02
   254    0.57884E+04    0.28913E+01    0.23317E-01    0.76066E+02
   255    0.57658E+04    0.29878E+01    0.23492E-01    0.77746E+02
   256    0.57426E+04    0.30869E+01    0.23667E-01    0.79413E+02
   257    0.57190E+04    0.31881E+01    0.23842E-01    0.81058E+02
   258    0.56948E+04    0.32918E+01    0.24017E-01    0.82694E+02
   259    0.56701E+04    0.33978E+01    0.24191E-01    0.84306E+02
   260    0.56450E+04    0.35062E+01    0.24365E-01    0.85908E+02
   261    0.56193E+04    0.36169E+01    0.24539E-01    0.87479E+02
   262    0.55930E+04    0.37300E+01    0.24712E-01    0.89040E+02
   263    0.55666E+04    0.38454E+01    0.24885E-01    0.90585E+02
   264    0.55395E+04    0.39630E+01    0.25058E-01    0.92105E+02
   265    0.55118E+04    0.40830E+01    0.25230E-01    0.93593E+02
   266    0.54838E+04    0.42054E+01    0.25402E-01    0.95071E+02
   267    0.54553E+04    0.43298E+01    0.25573E-01    0.96518E+02
   268    0.54263E+04    0.44568E+01    0.25744E-01    0.97947E+02
   269    0.53968E+04    0.45858E+01    0.25915E-01    0.99352E+02
   270    0.53670E+04    0.47171E+01    0.26085E-01    0.10073E+03
   271    0.53368E+04    0.48506E+01    0.26255E-01    0.10209E+03
   272    0.53062E+04    0.49865E+01    0.26424E-01    0.10341E+03
   273    0.52752E+04    0.51242E+01    0.26593E-01    0.10472E+03
   274    0.52439E+04    0.52643E+01    0.26761E-01    0.10598E+03
   275    0.52122E+04    0.54064E+01    0.26929E-01    0.10723E+03
   276    0.51802E+04    0.55506E+01    0.27096E-01    0.10844E+03
   277    0.51478E+04    0.56969E+01    0.27262E-01    0.10963E+03
   278    0.51151E+04    0.58452E+01    0.27428E-01    0.11078E+03
   279    0.50821E+04    0.59955E+01    0.27594E-01    0.11190E+03
   280    0.50487E+04    0.61478E+01    0.27759E-01    0.11300E+03
   281    0.50153E+04    0.63021E+01    0.27923E-01    0.11406E+03
   282    0.49813E+04    0.64581E+01    0.28086E-01    0.11509E+03
   283    0.49472E+04    0.66160E+01    0.28249E-01    0.11609E+03
   284    0.49128E+04    0.67759E+01    0.28411E-01    0.11705E+03
   285    0.48782E+04    0.69376E+01    0.28573E-01    0.11798E+03
   286    0.48433E+04    0.71010E+01    0.28733E-01    0.11887E+03
   287    0.48081E+04    0.72661E+01    0.28894E-01    0.11973E+03
   288    0.47728E+04    0.74330E+01    0.29053E-01    0.12056E+03
   289    0.47372E+04    0.76014E+01    0.29212E-01    0.12135E+03
   290    0.47015E+04    0.77714E+01    0.29370E-01    0.12210E+03
   291    0.46657E+04    0.79435E+01    0.29527E-01    0.12281E+03
   292    0.46294E+04    0.81168E+01    0.29684E-01    0.12350E+03
   293    0.45932E+04    0.82907E+01    0.29840E-01    0.12413E+03
   294    0.45567E+04    0.84669E+01    0.29996E-01    0.12474E+03
   295    0.45203E+04    0.86438E+01    0.30150E-01    0.12531E+03
   296    0.44836E+04    0.88229E+01    0.30304E-01    0.12583E+03
   297    0.44468E+04    0.90019E+01    0.30457E-01    0.12633E+03
   298    0.44098E+04    0.91832E+01    0.30610E-01    0.12678E+03
   299    0.43728E+04    0.93659E+01    0.30762E-01    0.12718E+03
   300    0.43357E+04    0.95485E+01    0.30913E-01    0.12755E+03
   301    0.42985E+04    0.97326E+01    0.31063E-01    0.12788E+03
   302    0.42613E+04    0.99174E+01    0.31212E-01    0.12818E+03
   303    0.42241E+04    0.10104E+02    0.31361E-01    0.12843E+03
   304    0.41867E+04    0.10291E+02    0.31509E-01    0.12863E+03
