#    L    TT             EE             BB             TE             PP             TP             EP          
    86    0.22933E+04    0.57558E+00    0.00000E+00   -0.14589E+02    0.12106E-06    0.52877E-03   -0.79572E-06
    87    0.23220E+04    0.59141E+00    0.00000E+00   -0.15211E+02    0.12035E-06    0.52198E-03   -0.80026E-06
    88    0.23507E+04    0.60734E+00    0.00000E+00   -0.15840E+02    0.11964E-06    0.51530E-03   -0.81388E-06
    89    0.23797E+04    0.62332E+00    0.00000E+00   -0.16479E+02    0.11894E-06    0.50874E-03   -0.83258E-06
    90    0.24089E+04    0.63930E+00    0.00000E+00   -0.17122E+02    0.11824E-06    0.50229E-03   -0.85236E-06
    91    0.24383E+04    0.65526E+00    0.00000E+00   -0.17771E+02    0.11754E-06    0.49597E-03   -0.86992E-06
    92    0.24680E+04    0.67118E+00    0.00000E+00   -0.18423E+02    0.11684E-06    0.48978E-03   -0.88475E-06
    93    0.24981E+04    0.68704E+00    0.00000E+00   -0.19081E+02    0.11615E-06    0.48370E-03   -0.89705E-06
    94    0.25282E+04    0.70283E+00    0.00000E+00   -0.19741E+02    0.11546E-06    0.47775E-03   -0.90699E-06
    95    0.25586E+04    0.71852E+00    0.00000E+00   -0.20404E+02    0.11477E-06    0.47191E-03   -0.91478E-06
    96    0.25890E+04    0.73412E+00    0.00000E+00   -0.21071E+02    0.11408E-06    0.46619E-03   -0.92059E-06
    97    0.26199E+04    0.74961E+00    0.00000E+00   -0.21740E+02    0.11340E-06    0.46057E-03   -0.92462E-06
    98    0.26510E+04    0.76497E+00    0.00000E+00   -0.22409E+02    0.11272E-06    0.45507E-03   -0.92706E-06
    99    0.26822E+04    0.78017E+00    0.00000E+00   -0.23081E+02    0.11204E-06    0.44967E-03   -0.92809E-06
   100    0.27138E+04    0.79522E+00    0.00000E+00   -0.23752E+02    0.11137E-06    0.44437E-03   -0.92791E-06
   101    0.27454E+04    0.81017E+00    0.00000E+00   -0.24424E+02    0.11070E-06    0.43918E-03   -0.92671E-06
   102    0.27776E+04    0.82487E+00    0.00000E+00   -0.25096E+02    0.11003E-06    0.43408E-03   -0.92466E-06
   103    0.28097E+04    0.83940E+00    0.00000E+00   -0.25768E+02    0.10937E-06    0.42907E-03   -0.92196E-06
   104    0.28421E+04    0.85376E+00    0.00000E+00   -0.26438E+02    0.10871E-06    0.42416E-03   -0.91880E-06
   105    0.28746E+04    0.86787E+00    0.00000E+00   -0.27106E+02    0.10806E-06    0.41933E-03   -0.91537E-06
   106    0.29074E+04    0.88181E+00    0.00000E+00   -0.27772E+02    0.10741E-06    0.41459E-03   -0.91185E-06
   107    0.29401E+04    0.89543E+00    0.00000E+00   -0.28435E+02    0.10676E-06    0.40994E-03   -0.90843E-06
   108    0.29731E+04    0.90881E+00    0.00000E+00   -0.29096E+02    0.10611E-06    0.40536E-03   -0.90530E-06
   109    0.30063E+04    0.92187E+00    0.00000E+00   -0.29752E+02    0.10547E-06    0.40087E-03   -0.90265E-06
   110    0.30396E+04    0.93461E+00    0.00000E+00   -0.30403E+02    0.10484E-06    0.39645E-03   -0.90066E-06
   111    0.30731E+04    0.94711E+00    0.00000E+00   -0.31050E+02    0.10421E-06    0.39210E-03   -0.89948E-06
