#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    89    0.23797E+04   -0.16479E+02    0.56845E-05   -0.16479E+02    0.62332E+00   -0.92876E-08    0.56845E-05   -0.92876E-08    0.14849E-10
    90    0.24089E+04   -0.17122E+02    0.55503E-05   -0.17122E+02    0.63930E+00   -0.94185E-08    0.55503E-05   -0.94185E-08    0.14437E-10
    91    0.24383E+04   -0.17771E+02    0.54202E-05   -0.17771E+02    0.65526E+00   -0.95248E-08    0.54202E-05   -0.95248E-08    0.14038E-10
    92    0.24680E+04   -0.18423E+02    0.52942E-05   -0.18423E+02    0.67118E+00   -0.96001E-08    0.52942E-05   -0.96001E-08    0.13653E-10
    93    0.24981E+04   -0.19081E+02    0.51722E-05   -0.19081E+02    0.68704E+00   -0.96467E-08    0.51722E-05   -0.96467E-08    0.13281E-10
    94    0.25282E+04   -0.19741E+02    0.50540E-05   -0.19741E+02    0.70283E+00   -0.96668E-08    0.50540E-05   -0.96668E-08    0.12922E-10
    95    0.25586E+04   -0.20404E+02    0.49394E-05   -0.20404E+02    0.71852E+00   -0.96625E-08    0.49394E-05   -0.96625E-08    0.12575E-10
    96    0.25890E+04   -0.21071E+02    0.48285E-05   -0.21071E+02    0.73412E+00   -0.96359E-08    0.48285E-05   -0.96359E-08    0.12241E-10
    97    0.26199E+04   -0.21740E+02    0.47211E-05   -0.21740E+02    0.74961E+00   -0.95894E-08    0.47211E-05   -0.95894E-08    0.11917E-10
    98    0.26510E+04   -0.22409E+02    0.46170E-05   -0.22409E+02    0.76497E+00   -0.95250E-08    0.46170E-05   -0.95250E-08    0.11605E-10
    99    0.26822E+04   -0.23081E+02    0.45161E-05   -0.23081E+02    0.78017E+00   -0.94448E-08    0.45161E-05   -0.94448E-08    0.11304E-10
   100    0.27138E+04   -0.23752E+02    0.44184E-05   -0.23752E+02    0.79522E+00   -0.93512E-08    0.44184E-05   -0.93512E-08    0.11013E-10
   101    0.27454E+04   -0.24424E+02    0.43237E-05   -0.24424E+02    0.81017E+00   -0.92463E-08    0.43237E-05   -0.92463E-08    0.10732E-10
   102    0.27776E+04   -0.25096E+02    0.42319E-05   -0.25096E+02    0.82487E+00   -0.91322E-08    0.42319E-05   -0.91322E-08    0.10461E-10
   103    0.28097E+04   -0.25768E+02    0.41429E-05   -0.25768E+02    0.83940E+00   -0.90111E-08    0.41429E-05   -0.90111E-08    0.10199E-10
   104    0.28421E+04   -0.26438E+02    0.40565E-05   -0.26438E+02    0.85376E+00   -0.88852E-08    0.40565E-05   -0.88852E-08    0.99453E-11
   105    0.28746E+04   -0.27106E+02    0.39727E-05   -0.27106E+02    0.86787E+00   -0.87567E-08    0.39727E-05   -0.87567E-08    0.97002E-11
   106    0.29074E+04   -0.27772E+02    0.38913E-05   -0.27772E+02    0.88181E+00   -0.86277E-08    0.38913E-05   -0.86277E-08    0.94631E-11
   107    0.29401E+04   -0.28435E+02    0.38123E-05   -0.28435E+02    0.89543E+00   -0.85005E-08    0.38123E-05   -0.85005E-08    0.92336E-11
   108    0.29731E+04   -0.29096E+02    0.37354E-05   -0.29096E+02    0.90881E+00   -0.83772E-08    0.37354E-05   -0.83772E-08    0.90112E-11
   109    0.30063E+04   -0.29752E+02    0.36606E-05   -0.29752E+02    0.92187E+00   -0.82599E-08    0.36606E-05   -0.82599E-08    0.87956E-11
   110    0.30396E+04   -0.30403E+02    0.35878E-05   -0.30403E+02    0.93461E+00   -0.81509E-08    0.35878E-05   -0.81509E-08    0.85863E-11
   111    0.30731E+04   -0.31050E+02    0.35169E-05   -0.31050E+02    0.94711E+00   -0.80518E-08    0.35169E-05   -0.80518E-08    0.83831E-11
   112    0.31067E+04   -0.31692E+02    0.34477E-05   -0.31692E+02    0.95929E+00   -0.79621E-08    0.34477E-05   -0.79621E-08    0.81857E-11
   113    0.31405E+04   -0.32328E+02    0.33804E-05   -0.32328E+02    0.97115E+00   -0.78811E-08    0.33804E-05   -0.78811E-08    0.79939E-11
   114    0.31744E+04   -0.32957E+02    0.33147E-05   -0.32957E+02    0.98262E+00   -0.78076E-08    0.33147E-05   -0.78076E-08    0.78077E-11
   115    0.32085E+04   -0.33578E+02    0.32508E-05   -0.33578E+02    0.99384E+00   -0.77408E-08    0.32508E-05   -0.77408E-08    0.76269E-11
   116    0.32427E+04   -0.34192E+02    0.31885E-05   -0.34192E+02    0.10046E+01   -0.76797E-08    0.31885E-05   -0.76797E-08    0.74513E-11
   117    0.32771E+04   -0.34797E+02    0.31278E-05   -0.34797E+02    0.10149E+01   -0.76234E-08    0.31278E-05   -0.76234E-08    0.72808E-11
   118    0.33117E+04   -0.35393E+02    0.30686E-05   -0.35393E+02    0.10250E+01   -0.75709E-08    0.30686E-05   -0.75709E-08    0.71152E-11
   119    0.33463E+04   -0.35980E+02    0.30110E-05   -0.35980E+02    0.10347E+01   -0.75214E-08    0.30110E-05   -0.75214E-08    0.69545E-11
   120    0.33810E+04   -0.36556E+02    0.29548E-05   -0.36556E+02    0.10439E+01   -0.74738E-08    0.29548E-05   -0.74738E-08    0.67984E-11
   121    0.34158E+04   -0.37121E+02    0.29001E-05   -0.37121E+02    0.10528E+01   -0.74272E-08    0.29001E-05   -0.74272E-08    0.66468E-11
   122    0.34506E+04   -0.37675E+02    0.28467E-05   -0.37675E+02    0.10612E+01   -0.73807E-08    0.28467E-05   -0.73807E-08    0.64996E-11
   123    0.34855E+04   -0.38218E+02    0.27947E-05   -0.38218E+02    0.10691E+01   -0.73333E-08    0.27947E-05   -0.73333E-08    0.63566E-11
   124    0.35205E+04   -0.38747E+02    0.27440E-05   -0.38747E+02    0.10766E+01   -0.72842E-08    0.27440E-05   -0.72842E-08    0.62176E-11
   125    0.35555E+04   -0.39263E+02    0.26946E-05   -0.39263E+02    0.10836E+01   -0.72323E-08    0.26946E-05   -0.72323E-08    0.60826E-11
   126    0.35906E+04   -0.39766E+02    0.26464E-05   -0.39766E+02    0.10902E+01   -0.71767E-08    0.26464E-05   -0.71767E-08    0.59514E-11
   127    0.36256E+04   -0.40255E+02    0.25993E-05   -0.40255E+02    0.10962E+01   -0.71165E-08    0.25993E-05   -0.71165E-08    0.58238E-11
   128    0.36607E+04   -0.40730E+02    0.25534E-05   -0.40730E+02    0.11019E+01   -0.70507E-08    0.25534E-05   -0.70507E-08    0.56997E-11
   129    0.36958E+04   -0.41189E+02    0.25086E-05   -0.41189E+02    0.11070E+01   -0.69784E-08    0.25086E-05   -0.69784E-08    0.55790E-11
   130    0.37310E+04   -0.41632E+02    0.24648E-05   -0.41632E+02    0.11115E+01   -0.68987E-08    0.24648E-05   -0.68987E-08    0.54614E-11
   131    0.37661E+04   -0.42060E+02    0.24220E-05   -0.42060E+02    0.11157E+01   -0.68109E-08    0.24220E-05   -0.68109E-08    0.53469E-11
   132    0.38014E+04   -0.42471E+02    0.23803E-05   -0.42471E+02    0.11193E+01   -0.67155E-08    0.23803E-05   -0.67155E-08    0.52354E-11
   133    0.38365E+04   -0.42865E+02    0.23394E-05   -0.42865E+02    0.11224E+01   -0.66134E-08    0.23394E-05   -0.66134E-08    0.51269E-11
   134    0.38717E+04   -0.43240E+02    0.22995E-05   -0.43240E+02    0.11250E+01   -0.65055E-08    0.22995E-05   -0.65055E-08    0.50211E-11
   135    0.39068E+04   -0.43598E+02    0.22606E-05   -0.43598E+02    0.11271E+01   -0.63925E-08    0.22606E-05   -0.63925E-08    0.49181E-11
   136    0.39418E+04   -0.43935E+02    0.22225E-05   -0.43935E+02    0.11286E+01   -0.62753E-08    0.22225E-05   -0.62753E-08    0.48179E-11
   137    0.39768E+04   -0.44254E+02    0.21852E-05   -0.44254E+02    0.11297E+01   -0.61547E-08    0.21852E-05   -0.61547E-08    0.47202E-11
   138    0.40117E+04   -0.44552E+02    0.21488E-05   -0.44552E+02    0.11302E+01   -0.60316E-08    0.21488E-05   -0.60316E-08    0.46251E-11
   139    0.40464E+04   -0.44830E+02    0.21133E-05   -0.44830E+02    0.11303E+01   -0.59067E-08    0.21133E-05   -0.59067E-08    0.45324E-11
   140    0.40812E+04   -0.45088E+02    0.20785E-05   -0.45088E+02    0.11298E+01   -0.57811E-08    0.20785E-05   -0.57811E-08    0.44422E-11
