#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    73    0.20647E+04   -0.79436E+01    0.80676E-05   -0.79436E+01    0.38735E+00   -0.74121E-08    0.80676E-05   -0.74121E-08    0.21282E-10
    74    0.20933E+04   -0.84681E+01    0.78572E-05   -0.84681E+01    0.40178E+00   -0.70549E-08    0.78572E-05   -0.70549E-08    0.20578E-10
    75    0.21222E+04   -0.90085E+01    0.76527E-05   -0.90085E+01    0.41645E+00   -0.69555E-08    0.76527E-05   -0.69555E-08    0.19904E-10
    76    0.21512E+04   -0.95650E+01    0.74531E-05   -0.95650E+01    0.43138E+00   -0.71828E-08    0.74531E-05   -0.71828E-08    0.19258E-10
    77    0.21805E+04   -0.10136E+02    0.72590E-05   -0.10136E+02    0.44656E+00   -0.76490E-08    0.72590E-05   -0.76490E-08    0.18638E-10
    78    0.22101E+04   -0.10719E+02    0.70710E-05   -0.10719E+02    0.46198E+00   -0.82272E-08    0.70710E-05   -0.82272E-08    0.18045E-10
    79    0.22400E+04   -0.11309E+02    0.68903E-05   -0.11309E+02    0.47756E+00   -0.87907E-08    0.68903E-05   -0.87907E-08    0.17475E-10
    80    0.22702E+04   -0.11905E+02    0.67174E-05   -0.11905E+02    0.49327E+00   -0.92126E-08    0.67174E-05   -0.92126E-08    0.16928E-10
    81    0.23008E+04   -0.12506E+02    0.65531E-05   -0.12506E+02    0.50904E+00   -0.93965E-08    0.65531E-05   -0.93965E-08    0.16403E-10
    82    0.23317E+04   -0.13112E+02    0.63965E-05   -0.13112E+02    0.52490E+00   -0.93686E-08    0.63965E-05   -0.93686E-08    0.15899E-10
    83    0.23629E+04   -0.13726E+02    0.62466E-05   -0.13726E+02    0.54084E+00   -0.91854E-08    0.62466E-05   -0.91854E-08    0.15415E-10
    84    0.23945E+04   -0.14348E+02    0.61024E-05   -0.14348E+02    0.55688E+00   -0.89035E-08    0.61024E-05   -0.89035E-08    0.14949E-10
    85    0.24262E+04   -0.14982E+02    0.59628E-05   -0.14982E+02    0.57300E+00   -0.85795E-08    0.59628E-05   -0.85795E-08    0.14502E-10
    86    0.24581E+04   -0.15629E+02    0.58269E-05   -0.15629E+02    0.58923E+00   -0.82615E-08    0.58269E-05   -0.82615E-08    0.14072E-10
    87    0.24904E+04   -0.16288E+02    0.56946E-05   -0.16288E+02    0.60553E+00   -0.79640E-08    0.56946E-05   -0.79640E-08    0.13658E-10
    88    0.25228E+04   -0.16957E+02    0.55660E-05   -0.16957E+02    0.62191E+00   -0.76928E-08    0.55660E-05   -0.76928E-08    0.13259E-10
    89    0.25555E+04   -0.17636E+02    0.54410E-05   -0.17636E+02    0.63834E+00   -0.74538E-08    0.54410E-05   -0.74538E-08    0.12875E-10
    90    0.25885E+04   -0.18321E+02    0.53198E-05   -0.18321E+02    0.65478E+00   -0.72528E-08    0.53198E-05   -0.72528E-08    0.12505E-10
    91    0.26216E+04   -0.19010E+02    0.52023E-05   -0.19010E+02    0.67120E+00   -0.70943E-08    0.52023E-05   -0.70943E-08    0.12147E-10
    92    0.26551E+04   -0.19705E+02    0.50885E-05   -0.19705E+02    0.68760E+00   -0.69765E-08    0.50885E-05   -0.69765E-08    0.11802E-10
    93    0.26890E+04   -0.20403E+02    0.49782E-05   -0.20403E+02    0.70396E+00   -0.68961E-08    0.49782E-05   -0.68961E-08    0.11470E-10
    94    0.27229E+04   -0.21104E+02    0.48714E-05   -0.21104E+02    0.72024E+00   -0.68498E-08    0.48714E-05   -0.68498E-08    0.11149E-10
    95    0.27571E+04   -0.21809E+02    0.47679E-05   -0.21809E+02    0.73645E+00   -0.68344E-08    0.47679E-05   -0.68344E-08    0.10839E-10
    96    0.27914E+04   -0.22517E+02    0.46677E-05   -0.22517E+02    0.75257E+00   -0.68466E-08    0.46677E-05   -0.68466E-08    0.10540E-10
    97    0.28262E+04   -0.23227E+02    0.45706E-05   -0.23227E+02    0.76858E+00   -0.68831E-08    0.45706E-05   -0.68831E-08    0.10252E-10
    98    0.28611E+04   -0.23936E+02    0.44765E-05   -0.23936E+02    0.78447E+00   -0.69407E-08    0.44765E-05   -0.69407E-08    0.99738E-11
    99    0.28962E+04   -0.24649E+02    0.43854E-05   -0.24649E+02    0.80022E+00   -0.70160E-08    0.43854E-05   -0.70160E-08    0.97057E-11
   100    0.29317E+04   -0.25361E+02    0.42970E-05   -0.25361E+02    0.81581E+00   -0.71059E-08    0.42970E-05   -0.71059E-08    0.94470E-11
   101    0.29672E+04   -0.26074E+02    0.42113E-05   -0.26074E+02    0.83130E+00   -0.72070E-08    0.42113E-05   -0.72070E-08    0.91975E-11
   102    0.30034E+04   -0.26786E+02    0.41283E-05   -0.26786E+02    0.84655E+00   -0.73160E-08    0.41283E-05   -0.73160E-08    0.89567E-11
   103    0.30394E+04   -0.27499E+02    0.40476E-05   -0.27499E+02    0.86163E+00   -0.74297E-08    0.40476E-05   -0.74297E-08    0.87243E-11
   104    0.30758E+04   -0.28208E+02    0.39694E-05   -0.28208E+02    0.87654E+00   -0.75449E-08    0.39694E-05   -0.75449E-08    0.84999E-11
   105    0.31122E+04   -0.28917E+02    0.38934E-05   -0.28917E+02    0.89120E+00   -0.76581E-08    0.38934E-05   -0.76581E-08    0.82831E-11
   106    0.31490E+04   -0.29623E+02    0.38196E-05   -0.29623E+02    0.90569E+00   -0.77663E-08    0.38196E-05   -0.77663E-08    0.80736E-11
   107    0.31856E+04   -0.30326E+02    0.37478E-05   -0.30326E+02    0.91986E+00   -0.78660E-08    0.37478E-05   -0.78660E-08    0.78709E-11
   108    0.32227E+04   -0.31027E+02    0.36780E-05   -0.31027E+02    0.93378E+00   -0.79541E-08    0.36780E-05   -0.79541E-08    0.76747E-11
   109    0.32599E+04   -0.31723E+02    0.36100E-05   -0.31723E+02    0.94738E+00   -0.80272E-08    0.36100E-05   -0.80272E-08    0.74846E-11
   110    0.32972E+04   -0.32414E+02    0.35437E-05   -0.32414E+02    0.96065E+00   -0.80821E-08    0.35437E-05   -0.80821E-08    0.73004E-11
   111    0.33346E+04   -0.33100E+02    0.34790E-05   -0.33100E+02    0.97367E+00   -0.81162E-08    0.34790E-05   -0.81162E-08    0.71215E-11
   112    0.33722E+04   -0.33782E+02    0.34159E-05   -0.33782E+02    0.98637E+00   -0.81302E-08    0.34159E-05   -0.81302E-08    0.69479E-11
   113    0.34101E+04   -0.34457E+02    0.33544E-05   -0.34457E+02    0.99874E+00   -0.81253E-08    0.33544E-05   -0.81253E-08    0.67794E-11
   114    0.34480E+04   -0.35125E+02    0.32943E-05   -0.35125E+02    0.10107E+01   -0.81029E-08    0.32943E-05   -0.81029E-08    0.66158E-11
   115    0.34862E+04   -0.35785E+02    0.32357E-05   -0.35785E+02    0.10224E+01   -0.80642E-08    0.32357E-05   -0.80642E-08    0.64572E-11
   116    0.35244E+04   -0.36437E+02    0.31786E-05   -0.36437E+02    0.10336E+01   -0.80106E-08    0.31786E-05   -0.80106E-08    0.63032E-11
   117    0.35628E+04   -0.37080E+02    0.31228E-05   -0.37080E+02    0.10445E+01   -0.79434E-08    0.31228E-05   -0.79434E-08    0.61539E-11
   118    0.36014E+04   -0.37714E+02    0.30684E-05   -0.37714E+02    0.10550E+01   -0.78640E-08    0.30684E-05   -0.78640E-08    0.60090E-11
   119    0.36401E+04   -0.38338E+02    0.30153E-05   -0.38338E+02    0.10652E+01   -0.77735E-08    0.30153E-05   -0.77735E-08    0.58684E-11
   120    0.36789E+04   -0.38950E+02    0.29636E-05   -0.38950E+02    0.10748E+01   -0.76735E-08    0.29636E-05   -0.76735E-08    0.57320E-11
   121    0.37176E+04   -0.39552E+02    0.29130E-05   -0.39552E+02    0.10842E+01   -0.75651E-08    0.29130E-05   -0.75651E-08    0.55996E-11
   122    0.37565E+04   -0.40142E+02    0.28637E-05   -0.40142E+02    0.10929E+01   -0.74497E-08    0.28637E-05   -0.74497E-08    0.54712E-11
   123    0.37954E+04   -0.40719E+02    0.28155E-05   -0.40719E+02    0.11012E+01   -0.73285E-08    0.28155E-05   -0.73285E-08    0.53465E-11
   124    0.38344E+04   -0.41282E+02    0.27685E-05   -0.41282E+02    0.11091E+01   -0.72031E-08    0.27685E-05   -0.72031E-08    0.52255E-11
   125    0.38734E+04   -0.41832E+02    0.27226E-05   -0.41832E+02    0.11165E+01   -0.70745E-08    0.27226E-05   -0.70745E-08    0.51080E-11
   126    0.39125E+04   -0.42368E+02    0.26778E-05   -0.42368E+02    0.11235E+01   -0.69442E-08    0.26778E-05   -0.69442E-08    0.49940E-11
   127    0.39516E+04   -0.42889E+02    0.26339E-05   -0.42889E+02    0.11299E+01   -0.68135E-08    0.26339E-05   -0.68135E-08    0.48831E-11
   128    0.39906E+04   -0.43395E+02    0.25911E-05   -0.43395E+02    0.11359E+01   -0.66836E-08    0.25911E-05   -0.66836E-08    0.47754E-11
   129    0.40298E+04   -0.43884E+02    0.25493E-05   -0.43884E+02    0.11414E+01   -0.65560E-08    0.25493E-05   -0.65560E-08    0.46707E-11
   130    0.40689E+04   -0.44356E+02    0.25083E-05   -0.44356E+02    0.11462E+01   -0.64319E-08    0.25083E-05   -0.64319E-08    0.45688E-11
   131    0.41080E+04   -0.44813E+02    0.24683E-05   -0.44813E+02    0.11507E+01   -0.63124E-08    0.24683E-05   -0.63124E-08    0.44697E-11
   132    0.41472E+04   -0.45250E+02    0.24291E-05   -0.45250E+02    0.11546E+01   -0.61976E-08    0.24291E-05   -0.61976E-08    0.43732E-11
   133    0.41863E+04   -0.45671E+02    0.23908E-05   -0.45671E+02    0.11580E+01   -0.60874E-08    0.23908E-05   -0.60874E-08    0.42793E-11
   134    0.42254E+04   -0.46071E+02    0.23533E-05   -0.46071E+02    0.11609E+01   -0.59817E-08    0.23533E-05   -0.59817E-08    0.41879E-11
   135    0.42644E+04   -0.46453E+02    0.23165E-05   -0.46453E+02    0.11632E+01   -0.58804E-08    0.23165E-05   -0.58804E-08    0.40990E-11
   136    0.43033E+04   -0.46813E+02    0.22806E-05   -0.46813E+02    0.11650E+01   -0.57834E-08    0.22806E-05   -0.57834E-08    0.40125E-11
   137    0.43422E+04   -0.47153E+02    0.22454E-05   -0.47153E+02    0.11663E+01   -0.56905E-08    0.22454E-05   -0.56905E-08    0.39283E-11
   138    0.43810E+04   -0.47472E+02    0.22110E-05   -0.47472E+02    0.11670E+01   -0.56017E-08    0.22110E-05   -0.56017E-08    0.38464E-11
   139    0.44196E+04   -0.47769E+02    0.21773E-05   -0.47769E+02    0.11673E+01   -0.55168E-08    0.21773E-05   -0.55168E-08    0.37667E-11
   140    0.44582E+04   -0.48045E+02    0.21443E-05   -0.48045E+02    0.11670E+01   -0.54357E-08    0.21443E-05   -0.54357E-08    0.36891E-11
   141    0.44965E+04   -0.48297E+02    0.21120E-05   -0.48297E+02    0.11661E+01   -0.53584E-08    0.21120E-05   -0.53584E-08    0.36136E-11
   142    0.45348E+04   -0.48527E+02    0.20803E-05   -0.48527E+02    0.11647E+01   -0.52846E-08    0.20803E-05   -0.52846E-08    0.35400E-11
   143    0.45731E+04   -0.48733E+02    0.20493E-05   -0.48733E+02    0.11628E+01   -0.52143E-08    0.20493E-05   -0.52143E-08    0.34684E-11
   144    0.46111E+04   -0.48916E+02    0.20189E-05   -0.48916E+02    0.11604E+01   -0.51473E-08    0.20189E-05   -0.51473E-08    0.33987E-11
   145    0.46489E+04   -0.49075E+02    0.19891E-05   -0.49075E+02    0.11576E+01   -0.50836E-08    0.19891E-05   -0.50836E-08    0.33308E-11
   146    0.46867E+04   -0.49209E+02    0.19598E-05   -0.49209E+02    0.11541E+01   -0.50230E-08    0.19598E-05   -0.50230E-08    0.32646E-11
   147    0.47241E+04   -0.49317E+02    0.19311E-05   -0.49317E+02    0.11502E+01   -0.49655E-08    0.19311E-05   -0.49655E-08    0.32002E-11
   148    0.47614E+04   -0.49401E+02    0.19030E-05   -0.49401E+02    0.11458E+01   -0.49108E-08    0.19030E-05   -0.49108E-08    0.31373E-11
   149    0.47986E+04   -0.49458E+02    0.18753E-05   -0.49458E+02    0.11409E+01   -0.48590E-08    0.18753E-05   -0.48590E-08    0.30759E-11
   150    0.48354E+04   -0.49488E+02    0.18482E-05   -0.49488E+02    0.11356E+01   -0.48098E-08    0.18482E-05   -0.48098E-08    0.30160E-11
   151    0.48720E+04   -0.49492E+02    0.18215E-05   -0.49492E+02    0.11298E+01   -0.47632E-08    0.18215E-05   -0.47632E-08    0.29576E-11
   152    0.49083E+04   -0.49469E+02    0.17953E-05   -0.49469E+02    0.11235E+01   -0.47188E-08    0.17953E-05   -0.47188E-08    0.29005E-11
   153    0.49444E+04   -0.49417E+02    0.17696E-05   -0.49417E+02    0.11167E+01   -0.46766E-08    0.17696E-05   -0.46766E-08    0.28448E-11
   154    0.49802E+04   -0.49339E+02    0.17443E-05   -0.49339E+02    0.11096E+01   -0.46362E-08    0.17443E-05   -0.46362E-08    0.27904E-11
   155    0.50158E+04   -0.49232E+02    0.17194E-05   -0.49232E+02    0.11020E+01   -0.45973E-08    0.17194E-05   -0.45973E-08    0.27373E-11
   156    0.50509E+04   -0.49098E+02    0.16950E-05   -0.49098E+02    0.10941E+01   -0.45598E-08    0.16950E-05   -0.45598E-08    0.26855E-11
