#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   107    0.31272E+04   -0.29746E+02    0.38744E-05   -0.29746E+02    0.91297E+00   -0.74131E-08    0.38744E-05   -0.74131E-08    0.86447E-11
   108    0.31631E+04   -0.30442E+02    0.37982E-05   -0.30442E+02    0.92705E+00   -0.75488E-08    0.37982E-05   -0.75488E-08    0.84335E-11
   109    0.31992E+04   -0.31133E+02    0.37240E-05   -0.31133E+02    0.94082E+00   -0.76689E-08    0.37240E-05   -0.76689E-08    0.82289E-11
   110    0.32353E+04   -0.31819E+02    0.36519E-05   -0.31819E+02    0.95427E+00   -0.77688E-08    0.36519E-05   -0.77688E-08    0.80304E-11
   111    0.32716E+04   -0.32502E+02    0.35816E-05   -0.32502E+02    0.96748E+00   -0.78451E-08    0.35816E-05   -0.78451E-08    0.78376E-11
   112    0.33080E+04   -0.33180E+02    0.35131E-05   -0.33180E+02    0.98038E+00   -0.78983E-08    0.35131E-05   -0.78983E-08    0.76504E-11
   113    0.33447E+04   -0.33852E+02    0.34464E-05   -0.33852E+02    0.99295E+00   -0.79296E-08    0.34464E-05   -0.79296E-08    0.74686E-11
   114    0.33815E+04   -0.34518E+02    0.33815E-05   -0.34518E+02    0.10051E+01   -0.79407E-08    0.33815E-05   -0.79407E-08    0.72922E-11
   115    0.34185E+04   -0.35176E+02    0.33183E-05   -0.35176E+02    0.10171E+01   -0.79328E-08    0.33183E-05   -0.79328E-08    0.71209E-11
   116    0.34556E+04   -0.35826E+02    0.32567E-05   -0.35826E+02    0.10285E+01   -0.79074E-08    0.32567E-05   -0.79074E-08    0.69546E-11
   117    0.34929E+04   -0.36468E+02    0.31968E-05   -0.36468E+02    0.10396E+01   -0.78661E-08    0.31968E-05   -0.78661E-08    0.67931E-11
   118    0.35304E+04   -0.37102E+02    0.31384E-05   -0.37102E+02    0.10504E+01   -0.78101E-08    0.31384E-05   -0.78101E-08    0.66364E-11
   119    0.35679E+04   -0.37726E+02    0.30815E-05   -0.37726E+02    0.10609E+01   -0.77409E-08    0.30815E-05   -0.77409E-08    0.64843E-11
   120    0.36056E+04   -0.38339E+02    0.30261E-05   -0.38339E+02    0.10708E+01   -0.76601E-08    0.30261E-05   -0.76601E-08    0.63367E-11
   121    0.36433E+04   -0.38941E+02    0.29720E-05   -0.38941E+02    0.10804E+01   -0.75689E-08    0.29720E-05   -0.75689E-08    0.61933E-11
   122    0.36810E+04   -0.39533E+02    0.29194E-05   -0.39533E+02    0.10895E+01   -0.74689E-08    0.29194E-05   -0.74689E-08    0.60542E-11
   123    0.37189E+04   -0.40113E+02    0.28681E-05   -0.40113E+02    0.10981E+01   -0.73614E-08    0.28681E-05   -0.73614E-08    0.59190E-11
   124    0.37568E+04   -0.40679E+02    0.28180E-05   -0.40679E+02    0.11063E+01   -0.72479E-08    0.28180E-05   -0.72479E-08    0.57878E-11
   125    0.37947E+04   -0.41232E+02    0.27692E-05   -0.41232E+02    0.11140E+01   -0.71299E-08    0.27692E-05   -0.71299E-08    0.56603E-11
   126    0.38327E+04   -0.41773E+02    0.27216E-05   -0.41773E+02    0.11213E+01   -0.70087E-08    0.27216E-05   -0.70087E-08    0.55365E-11
   127    0.38708E+04   -0.42299E+02    0.26751E-05   -0.42299E+02    0.11281E+01   -0.68858E-08    0.26751E-05   -0.68858E-08    0.54161E-11
   128    0.39088E+04   -0.42811E+02    0.26297E-05   -0.42811E+02    0.11344E+01   -0.67627E-08    0.26297E-05   -0.67627E-08    0.52990E-11
   129    0.39469E+04   -0.43307E+02    0.25853E-05   -0.43307E+02    0.11402E+01   -0.66407E-08    0.25853E-05   -0.66407E-08    0.51851E-11
   130    0.39850E+04   -0.43787E+02    0.25419E-05   -0.43787E+02    0.11455E+01   -0.65214E-08    0.25419E-05   -0.65214E-08    0.50743E-11
   131    0.40231E+04   -0.44252E+02    0.24995E-05   -0.44252E+02    0.11503E+01   -0.64058E-08    0.24995E-05   -0.64058E-08    0.49664E-11
   132    0.40613E+04   -0.44699E+02    0.24580E-05   -0.44699E+02    0.11546E+01   -0.62942E-08    0.24580E-05   -0.62942E-08    0.48614E-11
   133    0.40994E+04   -0.45130E+02    0.24174E-05   -0.45130E+02    0.11584E+01   -0.61866E-08    0.24174E-05   -0.61866E-08    0.47591E-11
   134    0.41375E+04   -0.45540E+02    0.23777E-05   -0.45540E+02    0.11617E+01   -0.60828E-08    0.23777E-05   -0.60828E-08    0.46595E-11
   135    0.41756E+04   -0.45934E+02    0.23388E-05   -0.45934E+02    0.11645E+01   -0.59829E-08    0.23388E-05   -0.59829E-08    0.45626E-11
   136    0.42135E+04   -0.46306E+02    0.23008E-05   -0.46306E+02    0.11667E+01   -0.58869E-08    0.23008E-05   -0.58869E-08    0.44682E-11
   137    0.42515E+04   -0.46660E+02    0.22636E-05   -0.46660E+02    0.11684E+01   -0.57946E-08    0.22636E-05   -0.57946E-08    0.43763E-11
   138    0.42894E+04   -0.46993E+02    0.22272E-05   -0.46993E+02    0.11696E+01   -0.57060E-08    0.22272E-05   -0.57060E-08    0.42869E-11
   139    0.43270E+04   -0.47305E+02    0.21916E-05   -0.47305E+02    0.11703E+01   -0.56211E-08    0.21916E-05   -0.56211E-08    0.41998E-11
