#    L    TT             EE             BB             TE          
   143    0.43064E+04    0.10872E+01    0.53723E-02   -0.45296E+02
   144    0.43418E+04    0.10823E+01    0.54550E-02   -0.45354E+02
   145    0.43769E+04    0.10770E+01    0.55385E-02   -0.45387E+02
   146    0.44121E+04    0.10711E+01    0.56229E-02   -0.45393E+02
   147    0.44468E+04    0.10649E+01    0.57082E-02   -0.45372E+02
   148    0.44812E+04    0.10582E+01    0.57943E-02   -0.45324E+02
   149    0.45156E+04    0.10510E+01    0.58812E-02   -0.45249E+02
   150    0.45495E+04    0.10436E+01    0.59690E-02   -0.45144E+02
   151    0.45832E+04    0.10357E+01    0.60577E-02   -0.45012E+02
   152    0.46166E+04    0.10273E+01    0.61472E-02   -0.44852E+02
   153    0.46497E+04    0.10186E+01    0.62376E-02   -0.44661E+02
   154    0.46824E+04    0.10096E+01    0.63288E-02   -0.44443E+02
   155    0.47149E+04    0.10003E+01    0.64210E-02   -0.44195E+02
   156    0.47469E+04    0.99066E+00    0.65140E-02   -0.43919E+02
   157    0.47788E+04    0.98076E+00    0.66079E-02   -0.43613E+02
   158    0.48102E+04    0.97065E+00    0.67027E-02   -0.43277E+02
   159    0.48412E+04    0.96020E+00    0.67983E-02   -0.42912E+02
   160    0.48720E+04    0.94956E+00    0.68949E-02   -0.42517E+02
   161    0.49023E+04    0.93881E+00    0.69924E-02   -0.42092E+02
   162    0.49323E+04    0.92781E+00    0.70908E-02   -0.41638E+02
   163    0.49620E+04    0.91664E+00    0.71901E-02   -0.41154E+02
   164    0.49912E+04    0.90539E+00    0.72902E-02   -0.40641E+02
   165    0.50200E+04    0.89399E+00    0.73913E-02   -0.40097E+02
   166    0.50485E+04    0.88260E+00    0.74933E-02   -0.39524E+02
   167    0.50766E+04    0.87100E+00    0.75961E-02   -0.38922E+02
   168    0.51042E+04    0.85956E+00    0.76998E-02   -0.38289E+02
   169    0.51313E+04    0.84801E+00    0.78044E-02   -0.37625E+02
   170    0.51580E+04    0.83658E+00    0.79098E-02   -0.36932E+02
   171    0.51841E+04    0.82526E+00    0.80161E-02   -0.36208E+02
   172    0.52097E+04    0.81399E+00    0.81233E-02   -0.35454E+02
   173    0.52347E+04    0.80279E+00    0.82313E-02   -0.34670E+02
   174    0.52593E+04    0.79195E+00    0.83401E-02   -0.33857E+02
