#    L    TT             EE             TE             PP             TP          
    98    0.26899E+04    0.79860E+00   -0.23872E+02    0.45601E+07    0.63726E+04
    99    0.27229E+04    0.81343E+00   -0.24558E+02    0.45275E+07    0.62967E+04
   100    0.27563E+04    0.82804E+00   -0.25242E+02    0.44952E+07    0.62224E+04
   101    0.27898E+04    0.84249E+00   -0.25926E+02    0.44630E+07    0.61495E+04
   102    0.28239E+04    0.85664E+00   -0.26607E+02    0.44311E+07    0.60781E+04
   103    0.28579E+04    0.87056E+00   -0.27286E+02    0.43994E+07    0.60082E+04
   104    0.28922E+04    0.88425E+00   -0.27961E+02    0.43679E+07    0.59397E+04
   105    0.29266E+04    0.89762E+00   -0.28633E+02    0.43366E+07    0.58725E+04
   106    0.29613E+04    0.91076E+00   -0.29300E+02    0.43056E+07    0.58066E+04
   107    0.29959E+04    0.92351E+00   -0.29962E+02    0.42748E+07    0.57421E+04
   108    0.30310E+04    0.93595E+00   -0.30620E+02    0.42442E+07    0.56788E+04
   109    0.30661E+04    0.94799E+00   -0.31271E+02    0.42139E+07    0.56167E+04
   110    0.31014E+04    0.95965E+00   -0.31914E+02    0.41837E+07    0.55558E+04
   111    0.31369E+04    0.97098E+00   -0.32551E+02    0.41539E+07    0.54960E+04
   112    0.31725E+04    0.98193E+00   -0.33181E+02    0.41243E+07    0.54373E+04
   113    0.32083E+04    0.99248E+00   -0.33802E+02    0.40949E+07    0.53798E+04
   114    0.32442E+04    0.10026E+01   -0.34413E+02    0.40657E+07    0.53233E+04
   115    0.32804E+04    0.10123E+01   -0.35015E+02    0.40368E+07    0.52679E+04
   116    0.33165E+04    0.10216E+01   -0.35606E+02    0.40081E+07    0.52135E+04
   117    0.33530E+04    0.10304E+01   -0.36186E+02    0.39797E+07    0.51601E+04
   118    0.33896E+04    0.10388E+01   -0.36755E+02    0.39515E+07    0.51077E+04
   119    0.34262E+04    0.10468E+01   -0.37311E+02    0.39236E+07    0.50562E+04
   120    0.34629E+04    0.10542E+01   -0.37854E+02    0.38958E+07    0.50056E+04
   121    0.34996E+04    0.10613E+01   -0.38384E+02    0.38683E+07    0.49560E+04
   122    0.35364E+04    0.10678E+01   -0.38899E+02    0.38411E+07    0.49073E+04
   123    0.35733E+04    0.10737E+01   -0.39400E+02    0.38140E+07    0.48594E+04
   124    0.36102E+04    0.10792E+01   -0.39884E+02    0.37873E+07    0.48123E+04
   125    0.36471E+04    0.10842E+01   -0.40352E+02    0.37607E+07    0.47661E+04
   126    0.36841E+04    0.10887E+01   -0.40805E+02    0.37344E+07    0.47206E+04
   127    0.37210E+04    0.10926E+01   -0.41240E+02    0.37082E+07    0.46759E+04
   128    0.37579E+04    0.10961E+01   -0.41658E+02    0.36824E+07    0.46319E+04
   129    0.37949E+04    0.10990E+01   -0.42057E+02    0.36567E+07    0.45887E+04
   130    0.38319E+04    0.11012E+01   -0.42437E+02    0.36313E+07    0.45462E+04
   131    0.38688E+04    0.11030E+01   -0.42798E+02    0.36061E+07    0.45043E+04
   132    0.39057E+04    0.11043E+01   -0.43139E+02    0.35811E+07    0.44631E+04
   133    0.39426E+04    0.11050E+01   -0.43460E+02    0.35564E+07    0.44225E+04
   134    0.39794E+04    0.11052E+01   -0.43759E+02    0.35318E+07    0.43825E+04
   135    0.40162E+04    0.11048E+01   -0.44037E+02    0.35075E+07    0.43431E+04
   136    0.40528E+04    0.11038E+01   -0.44291E+02    0.34834E+07    0.43043E+04
   137    0.40893E+04    0.11024E+01   -0.44523E+02    0.34596E+07    0.42661E+04
   138    0.41257E+04    0.11004E+01   -0.44733E+02    0.34359E+07    0.42284E+04
   139    0.41619E+04    0.10980E+01   -0.44918E+02    0.34125E+07    0.41913E+04
   140    0.41981E+04    0.10950E+01   -0.45080E+02    0.33892E+07    0.41546E+04
   141    0.42340E+04    0.10914E+01   -0.45216E+02    0.33662E+07    0.41185E+04
   142    0.42698E+04    0.10874E+01   -0.45328E+02    0.33434E+07    0.40828E+04
   143    0.43055E+04    0.10829E+01   -0.45415E+02    0.33208E+07    0.40476E+04
   144    0.43410E+04    0.10778E+01   -0.45476E+02    0.32984E+07    0.40128E+04
   145    0.43762E+04    0.10725E+01   -0.45512E+02    0.32762E+07    0.39785E+04
   146    0.44114E+04    0.10665E+01   -0.45521E+02    0.32542E+07    0.39445E+04
   147    0.44462E+04    0.10601E+01   -0.45502E+02    0.32324E+07    0.39110E+04
   148    0.44808E+04    0.10532E+01   -0.45458E+02    0.32108E+07    0.38778E+04
   149    0.45152E+04    0.10460E+01   -0.45386E+02    0.31894E+07    0.38450E+04
   150    0.45492E+04    0.10383E+01   -0.45283E+02    0.31682E+07    0.38125E+04
   151    0.45830E+04    0.10303E+01   -0.45154E+02    0.31472E+07    0.37803E+04
   152    0.46165E+04    0.10217E+01   -0.44997E+02    0.31264E+07    0.37485E+04
   153    0.46497E+04    0.10129E+01   -0.44809E+02    0.31058E+07    0.37170E+04
   154    0.46825E+04    0.10037E+01   -0.44593E+02    0.30854E+07    0.36858E+04
   155    0.47151E+04    0.99421E+00   -0.44349E+02    0.30651E+07    0.36549E+04
   156    0.47472E+04    0.98442E+00   -0.44075E+02    0.30451E+07    0.36243E+04
   157    0.47792E+04    0.97434E+00   -0.43771E+02    0.30252E+07    0.35940E+04
   158    0.48107E+04    0.96404E+00   -0.43438E+02    0.30056E+07    0.35640E+04
   159    0.48419E+04    0.95339E+00   -0.43076E+02    0.29861E+07    0.35344E+04
   160    0.48727E+04    0.94254E+00   -0.42682E+02    0.29668E+07    0.35050E+04
   161    0.49032E+04    0.93157E+00   -0.42260E+02    0.29476E+07    0.34759E+04
   162    0.49333E+04    0.92036E+00   -0.41809E+02    0.29287E+07    0.34472E+04
   163    0.49631E+04    0.90897E+00   -0.41327E+02    0.29099E+07    0.34187E+04
   164    0.49924E+04    0.89749E+00   -0.40816E+02    0.28913E+07    0.33905E+04
   165    0.50214E+04    0.88585E+00   -0.40274E+02    0.28728E+07    0.33626E+04
   166    0.50500E+04    0.87421E+00   -0.39702E+02    0.28546E+07    0.33350E+04
   167    0.50782E+04    0.86236E+00   -0.39102E+02    0.28365E+07    0.33077E+04
   168    0.51059E+04    0.85067E+00   -0.38470E+02    0.28186E+07    0.32807E+04
   169    0.51331E+04    0.83885E+00   -0.37808E+02    0.28008E+07    0.32540E+04
   170    0.51600E+04    0.82714E+00   -0.37117E+02    0.27832E+07    0.32275E+04
   171    0.51862E+04    0.81555E+00   -0.36394E+02    0.27658E+07    0.32014E+04
   172    0.52119E+04    0.80400E+00   -0.35641E+02    0.27485E+07    0.31755E+04
   173    0.52371E+04    0.79251E+00   -0.34859E+02    0.27314E+07    0.31498E+04
   174    0.52618E+04    0.78137E+00   -0.34046E+02    0.27144E+07    0.31245E+04
   175    0.52860E+04    0.77031E+00   -0.33203E+02    0.26976E+07    0.30994E+04
   176    0.53095E+04    0.75955E+00   -0.32330E+02    0.26809E+07    0.30746E+04
   177    0.53326E+04    0.74903E+00   -0.31429E+02    0.26644E+07    0.30501E+04
   178    0.53550E+04    0.73898E+00   -0.30497E+02    0.26481E+07    0.30258E+04
   179    0.53768E+04    0.72911E+00   -0.29535E+02    0.26319E+07    0.30018E+04
   180    0.53982E+04    0.71967E+00   -0.28546E+02    0.26158E+07    0.29780E+04
   181    0.54190E+04    0.71064E+00   -0.27528E+02    0.25999E+07    0.29545E+04
   182    0.54391E+04    0.70214E+00   -0.26481E+02    0.25842E+07    0.29312E+04
   183    0.54586E+04    0.69407E+00   -0.25407E+02    0.25686E+07    0.29082E+04
   184    0.54776E+04    0.68655E+00   -0.24305E+02    0.25531E+07    0.28854E+04
   185    0.54959E+04    0.67971E+00   -0.23177E+02    0.25377E+07    0.28628E+04
