#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   116    0.33165E+04   -0.35606E+02    0.26474E-05   -0.35606E+02    0.10216E+01   -0.89944E-08    0.26474E-05   -0.89944E-08    0.64381E-11
   117    0.33530E+04   -0.36186E+02    0.25976E-05   -0.36186E+02    0.10304E+01   -0.89161E-08    0.25976E-05   -0.89161E-08    0.62829E-11
   118    0.33896E+04   -0.36755E+02    0.25492E-05   -0.36755E+02    0.10388E+01   -0.88244E-08    0.25492E-05   -0.88244E-08    0.61323E-11
   119    0.34262E+04   -0.37311E+02    0.25020E-05   -0.37311E+02    0.10468E+01   -0.87203E-08    0.25020E-05   -0.87203E-08    0.59863E-11
   120    0.34629E+04   -0.37854E+02    0.24562E-05   -0.37854E+02    0.10542E+01   -0.86052E-08    0.24562E-05   -0.86052E-08    0.58447E-11
   121    0.34996E+04   -0.38384E+02    0.24115E-05   -0.38384E+02    0.10613E+01   -0.84801E-08    0.24115E-05   -0.84801E-08    0.57073E-11
   122    0.35364E+04   -0.38899E+02    0.23680E-05   -0.38899E+02    0.10678E+01   -0.83463E-08    0.23680E-05   -0.83463E-08    0.55740E-11
   123    0.35733E+04   -0.39400E+02    0.23257E-05   -0.39400E+02    0.10737E+01   -0.82048E-08    0.23257E-05   -0.82048E-08    0.54448E-11
   124    0.36102E+04   -0.39884E+02    0.22844E-05   -0.39884E+02    0.10792E+01   -0.80568E-08    0.22844E-05   -0.80568E-08    0.53193E-11
   125    0.36471E+04   -0.40352E+02    0.22442E-05   -0.40352E+02    0.10842E+01   -0.79035E-08    0.22442E-05   -0.79035E-08    0.51975E-11
   126    0.36841E+04   -0.40805E+02    0.22051E-05   -0.40805E+02    0.10887E+01   -0.77461E-08    0.22051E-05   -0.77461E-08    0.50793E-11
   127    0.37210E+04   -0.41240E+02    0.21669E-05   -0.41240E+02    0.10926E+01   -0.75856E-08    0.21669E-05   -0.75856E-08    0.49645E-11
   128    0.37579E+04   -0.41658E+02    0.21296E-05   -0.41658E+02    0.10961E+01   -0.74234E-08    0.21296E-05   -0.74234E-08    0.48529E-11
   129    0.37949E+04   -0.42057E+02    0.20933E-05   -0.42057E+02    0.10990E+01   -0.72604E-08    0.20933E-05   -0.72604E-08    0.47445E-11
   130    0.38319E+04   -0.42437E+02    0.20578E-05   -0.42437E+02    0.11012E+01   -0.70979E-08    0.20578E-05   -0.70979E-08    0.46391E-11
   131    0.38688E+04   -0.42798E+02    0.20231E-05   -0.42798E+02    0.11030E+01   -0.69369E-08    0.20231E-05   -0.69369E-08    0.45365E-11
   132    0.39057E+04   -0.43139E+02    0.19893E-05   -0.43139E+02    0.11043E+01   -0.67778E-08    0.19893E-05   -0.67778E-08    0.44367E-11
   133    0.39426E+04   -0.43460E+02    0.19562E-05   -0.43460E+02    0.11050E+01   -0.66207E-08    0.19562E-05   -0.66207E-08    0.43396E-11
   134    0.39794E+04   -0.43759E+02    0.19239E-05   -0.43759E+02    0.11052E+01   -0.64659E-08    0.19239E-05   -0.64659E-08    0.42452E-11
   135    0.40162E+04   -0.44037E+02    0.18924E-05   -0.44037E+02    0.11048E+01   -0.63135E-08    0.18924E-05   -0.63135E-08    0.41533E-11
   136    0.40528E+04   -0.44291E+02    0.18615E-05   -0.44291E+02    0.11038E+01   -0.61638E-08    0.18615E-05   -0.61638E-08    0.40639E-11
   137    0.40893E+04   -0.44523E+02    0.18314E-05   -0.44523E+02    0.11024E+01   -0.60170E-08    0.18314E-05   -0.60170E-08    0.39770E-11
   138    0.41257E+04   -0.44733E+02    0.18019E-05   -0.44733E+02    0.11004E+01   -0.58734E-08    0.18019E-05   -0.58734E-08    0.38924E-11
   139    0.41619E+04   -0.44918E+02    0.17731E-05   -0.44918E+02    0.10980E+01   -0.57330E-08    0.17731E-05   -0.57330E-08    0.38101E-11
   140    0.41981E+04   -0.45080E+02    0.17450E-05   -0.45080E+02    0.10950E+01   -0.55961E-08    0.17450E-05   -0.55961E-08    0.37301E-11
   141    0.42340E+04   -0.45216E+02    0.17174E-05   -0.45216E+02    0.10914E+01   -0.54630E-08    0.17174E-05   -0.54630E-08    0.36522E-11
   142    0.42698E+04   -0.45328E+02    0.16905E-05   -0.45328E+02    0.10874E+01   -0.53338E-08    0.16905E-05   -0.53338E-08    0.35764E-11
   143    0.43055E+04   -0.45415E+02    0.16641E-05   -0.45415E+02    0.10829E+01   -0.52087E-08    0.16641E-05   -0.52087E-08    0.35026E-11
   144    0.43410E+04   -0.45476E+02    0.16383E-05   -0.45476E+02    0.10778E+01   -0.50880E-08    0.16383E-05   -0.50880E-08    0.34308E-11
   145    0.43762E+04   -0.45512E+02    0.16131E-05   -0.45512E+02    0.10725E+01   -0.49718E-08    0.16131E-05   -0.49718E-08    0.33609E-11
   146    0.44114E+04   -0.45521E+02    0.15883E-05   -0.45521E+02    0.10665E+01   -0.48604E-08    0.15883E-05   -0.48604E-08    0.32927E-11
   147    0.44462E+04   -0.45502E+02    0.15641E-05   -0.45502E+02    0.10601E+01   -0.47540E-08    0.15641E-05   -0.47540E-08    0.32264E-11
   148    0.44808E+04   -0.45458E+02    0.15403E-05   -0.45458E+02    0.10532E+01   -0.46528E-08    0.15403E-05   -0.46528E-08    0.31617E-11
   149    0.45152E+04   -0.45386E+02    0.15170E-05   -0.45386E+02    0.10460E+01   -0.45569E-08    0.15170E-05   -0.45569E-08    0.30986E-11
   150    0.45492E+04   -0.45283E+02    0.14941E-05   -0.45283E+02    0.10383E+01   -0.44667E-08    0.14941E-05   -0.44667E-08    0.30370E-11
   151    0.45830E+04   -0.45154E+02    0.14716E-05   -0.45154E+02    0.10303E+01   -0.43822E-08    0.14716E-05   -0.43822E-08    0.29769E-11
   152    0.46165E+04   -0.44997E+02    0.14496E-05   -0.44997E+02    0.10217E+01   -0.43031E-08    0.14496E-05   -0.43031E-08    0.29183E-11
   153    0.46497E+04   -0.44809E+02    0.14279E-05   -0.44809E+02    0.10129E+01   -0.42291E-08    0.14279E-05   -0.42291E-08    0.28611E-11
   154    0.46825E+04   -0.44593E+02    0.14067E-05   -0.44593E+02    0.10037E+01   -0.41599E-08    0.14067E-05   -0.41599E-08    0.28052E-11
   155    0.47151E+04   -0.44349E+02    0.13858E-05   -0.44349E+02    0.99421E+00   -0.40951E-08    0.13858E-05   -0.40951E-08    0.27507E-11
   156    0.47472E+04   -0.44075E+02    0.13653E-05   -0.44075E+02    0.98442E+00   -0.40344E-08    0.13653E-05   -0.40344E-08    0.26975E-11
   157    0.47792E+04   -0.43771E+02    0.13452E-05   -0.43771E+02    0.97434E+00   -0.39773E-08    0.13452E-05   -0.39773E-08    0.26456E-11
   158    0.48107E+04   -0.43438E+02    0.13255E-05   -0.43438E+02    0.96404E+00   -0.39237E-08    0.13255E-05   -0.39237E-08    0.25950E-11
   159    0.48419E+04   -0.43076E+02    0.13061E-05   -0.43076E+02    0.95339E+00   -0.38730E-08    0.13061E-05   -0.38730E-08    0.25456E-11
   160    0.48727E+04   -0.42682E+02    0.12871E-05   -0.42682E+02    0.94254E+00   -0.38250E-08    0.12871E-05   -0.38250E-08    0.24974E-11
   161    0.49032E+04   -0.42260E+02    0.12685E-05   -0.42260E+02    0.93157E+00   -0.37793E-08    0.12685E-05   -0.37793E-08    0.24504E-11
   162    0.49333E+04   -0.41809E+02    0.12501E-05   -0.41809E+02    0.92036E+00   -0.37356E-08    0.12501E-05   -0.37356E-08    0.24045E-11
